example_idx,question_id,query_type,gold,pred,layer,rank,pos,token,attn_weight
0,11856,ate,yes,yes,0,1,107,Ċ,0.285156
0,11856,ate,yes,yes,0,2,104,Ċ,0.083984
0,11856,ate,yes,yes,0,3,106,assistant,0.038818
0,11856,ate,yes,yes,0,4,102,?,0.036133
0,11856,ate,yes,yes,0,5,3,Answer,0.034424
0,11856,ate,yes,yes,1,1,107,Ċ,0.144531
0,11856,ate,yes,yes,1,2,104,Ċ,0.141602
0,11856,ate,yes,yes,1,3,106,assistant,0.071777
0,11856,ate,yes,yes,1,4,102,?,0.048096
0,11856,ate,yes,yes,1,5,105,<|im_start|>,0.047852
0,11856,ate,yes,yes,2,1,107,Ċ,0.196289
0,11856,ate,yes,yes,2,2,106,assistant,0.179688
0,11856,ate,yes,yes,2,3,104,Ċ,0.142578
0,11856,ate,yes,yes,2,4,105,<|im_start|>,0.063965
0,11856,ate,yes,yes,2,5,102,?,0.028320
0,11856,ate,yes,yes,3,1,0,<|im_start|>,0.613281
0,11856,ate,yes,yes,3,2,23,Ċ,0.068848
0,11856,ate,yes,yes,3,3,107,Ċ,0.048828
0,11856,ate,yes,yes,3,4,106,assistant,0.045410
0,11856,ate,yes,yes,3,5,104,Ċ,0.040283
0,11856,ate,yes,yes,4,1,0,<|im_start|>,0.738281
0,11856,ate,yes,yes,4,2,106,assistant,0.069336
0,11856,ate,yes,yes,4,3,107,Ċ,0.040527
0,11856,ate,yes,yes,4,4,104,Ċ,0.031250
0,11856,ate,yes,yes,4,5,23,Ċ,0.024658
0,11856,ate,yes,yes,5,1,0,<|im_start|>,0.781250
0,11856,ate,yes,yes,5,2,107,Ċ,0.073242
0,11856,ate,yes,yes,5,3,106,assistant,0.045654
0,11856,ate,yes,yes,5,4,105,<|im_start|>,0.022095
0,11856,ate,yes,yes,5,5,3,Answer,0.012207
0,11856,ate,yes,yes,6,1,0,<|im_start|>,0.582031
0,11856,ate,yes,yes,6,2,107,Ċ,0.061035
0,11856,ate,yes,yes,6,3,23,Ċ,0.053711
0,11856,ate,yes,yes,6,4,106,assistant,0.044922
0,11856,ate,yes,yes,6,5,104,Ċ,0.032959
0,11856,ate,yes,yes,7,1,0,<|im_start|>,0.648438
0,11856,ate,yes,yes,7,2,107,Ċ,0.069336
0,11856,ate,yes,yes,7,3,106,assistant,0.027710
0,11856,ate,yes,yes,7,4,23,Ċ,0.023560
0,11856,ate,yes,yes,7,5,3,Answer,0.022095
0,11856,ate,yes,yes,8,1,0,<|im_start|>,0.408203
0,11856,ate,yes,yes,8,2,20,Ċ,0.098633
0,11856,ate,yes,yes,8,3,104,Ċ,0.067871
0,11856,ate,yes,yes,8,4,107,Ċ,0.063965
0,11856,ate,yes,yes,8,5,106,assistant,0.050781
0,11856,ate,yes,yes,9,1,0,<|im_start|>,0.617188
0,11856,ate,yes,yes,9,2,107,Ċ,0.084473
0,11856,ate,yes,yes,9,3,104,Ċ,0.071289
0,11856,ate,yes,yes,9,4,106,assistant,0.049561
0,11856,ate,yes,yes,9,5,20,Ċ,0.039551
0,11856,ate,yes,yes,10,1,0,<|im_start|>,0.421875
0,11856,ate,yes,yes,10,2,107,Ċ,0.129883
0,11856,ate,yes,yes,10,3,104,Ċ,0.097168
0,11856,ate,yes,yes,10,4,20,Ċ,0.083496
0,11856,ate,yes,yes,10,5,23,Ċ,0.038818
0,11856,ate,yes,yes,11,1,0,<|im_start|>,0.515625
0,11856,ate,yes,yes,11,2,107,Ċ,0.131836
0,11856,ate,yes,yes,11,3,104,Ċ,0.036865
0,11856,ate,yes,yes,11,4,106,assistant,0.025513
0,11856,ate,yes,yes,11,5,20,Ċ,0.024414
0,11856,ate,yes,yes,12,1,0,<|im_start|>,0.359375
0,11856,ate,yes,yes,12,2,107,Ċ,0.139648
0,11856,ate,yes,yes,12,3,104,Ċ,0.062500
0,11856,ate,yes,yes,12,4,11,no,0.051758
0,11856,ate,yes,yes,12,5,12,'.,0.050781
0,11856,ate,yes,yes,13,1,0,<|im_start|>,0.613281
0,11856,ate,yes,yes,13,2,107,Ċ,0.052246
0,11856,ate,yes,yes,13,3,104,Ċ,0.043457
0,11856,ate,yes,yes,13,4,106,assistant,0.041504
0,11856,ate,yes,yes,13,5,20,Ċ,0.035156
0,11856,ate,yes,yes,14,1,0,<|im_start|>,0.482422
0,11856,ate,yes,yes,14,2,107,Ċ,0.133789
0,11856,ate,yes,yes,14,3,104,Ċ,0.094727
0,11856,ate,yes,yes,14,4,103,<|im_end|>,0.033203
0,11856,ate,yes,yes,14,5,105,<|im_start|>,0.032471
0,11856,ate,yes,yes,15,1,0,<|im_start|>,0.437500
0,11856,ate,yes,yes,15,2,107,Ċ,0.121094
0,11856,ate,yes,yes,15,3,104,Ċ,0.093750
0,11856,ate,yes,yes,15,4,23,Ċ,0.049316
0,11856,ate,yes,yes,15,5,20,Ċ,0.030762
0,11856,ate,yes,yes,16,1,0,<|im_start|>,0.140625
0,11856,ate,yes,yes,16,2,107,Ċ,0.113281
0,11856,ate,yes,yes,16,3,20,Ċ,0.076660
0,11856,ate,yes,yes,16,4,104,Ċ,0.075684
0,11856,ate,yes,yes,16,5,15,.,0.071289
0,11856,ate,yes,yes,17,1,0,<|im_start|>,0.355469
0,11856,ate,yes,yes,17,2,107,Ċ,0.104004
0,11856,ate,yes,yes,17,3,20,Ċ,0.093750
0,11856,ate,yes,yes,17,4,23,Ċ,0.055420
0,11856,ate,yes,yes,17,5,12,'.,0.054932
0,11856,ate,yes,yes,18,1,0,<|im_start|>,0.242188
0,11856,ate,yes,yes,18,2,107,Ċ,0.166016
0,11856,ate,yes,yes,18,3,104,Ċ,0.096680
0,11856,ate,yes,yes,18,4,20,Ċ,0.059326
0,11856,ate,yes,yes,18,5,12,'.,0.046631
0,11856,ate,yes,yes,19,1,0,<|im_start|>,0.298828
0,11856,ate,yes,yes,19,2,107,Ċ,0.121094
0,11856,ate,yes,yes,19,3,12,'.,0.059814
0,11856,ate,yes,yes,19,4,7,yes,0.038574
0,11856,ate,yes,yes,19,5,104,Ċ,0.035645
0,11856,ate,yes,yes,20,1,0,<|im_start|>,0.406250
0,11856,ate,yes,yes,20,2,107,Ċ,0.103027
0,11856,ate,yes,yes,20,3,104,Ċ,0.042236
0,11856,ate,yes,yes,20,4,14,Ġexplanation,0.030884
0,11856,ate,yes,yes,20,5,12,'.,0.030029
0,11856,ate,yes,yes,21,1,107,Ċ,0.119629
0,11856,ate,yes,yes,21,2,18,.,0.087402
0,11856,ate,yes,yes,21,3,7,yes,0.081055
0,11856,ate,yes,yes,21,4,102,?,0.074219
0,11856,ate,yes,yes,21,5,0,<|im_start|>,0.070312
0,11856,ate,yes,yes,22,1,0,<|im_start|>,0.314453
0,11856,ate,yes,yes,22,2,7,yes,0.087402
0,11856,ate,yes,yes,22,3,107,Ċ,0.079102
0,11856,ate,yes,yes,22,4,11,no,0.070312
0,11856,ate,yes,yes,22,5,18,.,0.056641
0,11856,ate,yes,yes,23,1,0,<|im_start|>,0.296875
0,11856,ate,yes,yes,23,2,107,Ċ,0.120117
0,11856,ate,yes,yes,23,3,102,?,0.115723
0,11856,ate,yes,yes,23,4,106,assistant,0.083008
0,11856,ate,yes,yes,23,5,104,Ċ,0.033936
0,11856,ate,yes,yes,24,1,0,<|im_start|>,0.192383
0,11856,ate,yes,yes,24,2,102,?,0.161133
0,11856,ate,yes,yes,24,3,107,Ċ,0.135742
0,11856,ate,yes,yes,24,4,106,assistant,0.085449
0,11856,ate,yes,yes,24,5,101,Ġcancer,0.045654
0,11856,ate,yes,yes,25,1,0,<|im_start|>,0.507812
0,11856,ate,yes,yes,25,2,107,Ċ,0.130859
0,11856,ate,yes,yes,25,3,7,yes,0.067871
0,11856,ate,yes,yes,25,4,106,assistant,0.045898
0,11856,ate,yes,yes,25,5,11,no,0.032715
0,11856,ate,yes,yes,26,1,0,<|im_start|>,0.261719
0,11856,ate,yes,yes,26,2,107,Ċ,0.127930
0,11856,ate,yes,yes,26,3,102,?,0.089844
0,11856,ate,yes,yes,26,4,106,assistant,0.052246
0,11856,ate,yes,yes,26,5,7,yes,0.049805
0,11856,ate,yes,yes,27,1,0,<|im_start|>,0.206055
0,11856,ate,yes,yes,27,2,107,Ċ,0.148438
0,11856,ate,yes,yes,27,3,7,yes,0.138672
0,11856,ate,yes,yes,27,4,18,.,0.115234
0,11856,ate,yes,yes,27,5,11,no,0.077637
0,11856,ate,yes,yes,28,1,0,<|im_start|>,0.447266
0,11856,ate,yes,yes,28,2,107,Ċ,0.107910
0,11856,ate,yes,yes,28,3,106,assistant,0.083984
0,11856,ate,yes,yes,28,4,11,no,0.061035
0,11856,ate,yes,yes,28,5,102,?,0.058594
0,11856,ate,yes,yes,29,1,0,<|im_start|>,0.431641
0,11856,ate,yes,yes,29,2,107,Ċ,0.092285
0,11856,ate,yes,yes,29,3,7,yes,0.087402
0,11856,ate,yes,yes,29,4,106,assistant,0.069824
0,11856,ate,yes,yes,29,5,102,?,0.060791
0,11856,ate,yes,yes,30,1,0,<|im_start|>,0.373047
0,11856,ate,yes,yes,30,2,107,Ċ,0.124023
0,11856,ate,yes,yes,30,3,11,no,0.105469
0,11856,ate,yes,yes,30,4,7,yes,0.100586
0,11856,ate,yes,yes,30,5,106,assistant,0.077637
0,11856,ate,yes,yes,31,1,7,yes,0.206055
0,11856,ate,yes,yes,31,2,2,Ċ,0.160156
0,11856,ate,yes,yes,31,3,9,Ġor,0.103027
0,11856,ate,yes,yes,31,4,106,assistant,0.068359
0,11856,ate,yes,yes,31,5,107,Ċ,0.064453
0,11856,ate,yes,yes,32,1,2,Ċ,0.248047
0,11856,ate,yes,yes,32,2,9,Ġor,0.180664
0,11856,ate,yes,yes,32,3,11,no,0.134766
0,11856,ate,yes,yes,32,4,7,yes,0.131836
0,11856,ate,yes,yes,32,5,25,Ġa,0.036133
0,11856,ate,yes,yes,33,1,2,Ċ,0.322266
