example_idx,question_id,query_type,gold,pred,layer,entropy_avg_heads,max_possible_entropy
0,11856,ate,yes,yes,0,2.725569,4.682131
0,11856,ate,yes,yes,1,3.286621,4.682131
0,11856,ate,yes,yes,2,2.661377,4.682131
0,11856,ate,yes,yes,3,1.599243,4.682131
0,11856,ate,yes,yes,4,1.150146,4.682131
0,11856,ate,yes,yes,5,0.778427,4.682131
0,11856,ate,yes,yes,6,1.608887,4.682131
0,11856,ate,yes,yes,7,1.726196,4.682131
0,11856,ate,yes,yes,8,1.945557,4.682131
0,11856,ate,yes,yes,9,1.363525,4.682131
0,11856,ate,yes,yes,10,1.910156,4.682131
0,11856,ate,yes,yes,11,2.135498,4.682131
0,11856,ate,yes,yes,12,1.985352,4.682131
0,11856,ate,yes,yes,13,1.475098,4.682131
0,11856,ate,yes,yes,14,1.626709,4.682131
0,11856,ate,yes,yes,15,1.614502,4.682131
0,11856,ate,yes,yes,16,2.505859,4.682131
0,11856,ate,yes,yes,17,2.051147,4.682131
0,11856,ate,yes,yes,18,2.398193,4.682131
0,11856,ate,yes,yes,19,2.254395,4.682131
0,11856,ate,yes,yes,20,2.102036,4.682131
0,11856,ate,yes,yes,21,2.502930,4.682131
0,11856,ate,yes,yes,22,2.731934,4.682131
0,11856,ate,yes,yes,23,2.179932,4.682131
0,11856,ate,yes,yes,24,2.076172,4.682131
0,11856,ate,yes,yes,25,1.500000,4.682131
0,11856,ate,yes,yes,26,1.495361,4.682131
0,11856,ate,yes,yes,27,2.267090,4.682131
0,11856,ate,yes,yes,28,2.092285,4.682131
0,11856,ate,yes,yes,29,1.831787,4.682131
0,11856,ate,yes,yes,30,1.903076,4.682131
0,11856,ate,yes,yes,31,2.771973,4.682131
0,11856,ate,yes,yes,32,2.541016,4.682131
0,11856,ate,yes,yes,33,2.632812,4.682131
0,11856,ate,yes,yes,34,2.511719,4.682131
0,11856,ate,yes,yes,35,2.629150,4.682131
1,20799,nie,yes,yes,0,3.089427,5.278115
1,20799,nie,yes,yes,1,3.526367,5.278115
1,20799,nie,yes,yes,2,2.723633,5.278115
1,20799,nie,yes,yes,3,1.598755,5.278115
1,20799,nie,yes,yes,4,1.091187,5.278115
1,20799,nie,yes,yes,5,0.768420,5.278115
1,20799,nie,yes,yes,6,1.672607,5.278115
1,20799,nie,yes,yes,7,1.842529,5.278115
1,20799,nie,yes,yes,8,1.980225,5.278115
1,20799,nie,yes,yes,9,1.370728,5.278115
1,20799,nie,yes,yes,10,1.998291,5.278115
1,20799,nie,yes,yes,11,2.251465,5.278115
1,20799,nie,yes,yes,12,2.017334,5.278115
1,20799,nie,yes,yes,13,1.531982,5.278115
1,20799,nie,yes,yes,14,1.658691,5.278115
1,20799,nie,yes,yes,15,1.621338,5.278115
1,20799,nie,yes,yes,16,2.573730,5.278115
1,20799,nie,yes,yes,17,2.099609,5.278115
1,20799,nie,yes,yes,18,2.442383,5.278115
1,20799,nie,yes,yes,19,2.362305,5.278115
1,20799,nie,yes,yes,20,2.211029,5.278115
1,20799,nie,yes,yes,21,2.938721,5.278115
1,20799,nie,yes,yes,22,2.895020,5.278115
1,20799,nie,yes,yes,23,2.284668,5.278115
1,20799,nie,yes,yes,24,2.182129,5.278115
1,20799,nie,yes,yes,25,1.592773,5.278115
1,20799,nie,yes,yes,26,1.753174,5.278115
1,20799,nie,yes,yes,27,2.643555,5.278115
1,20799,nie,yes,yes,28,2.252441,5.278115
1,20799,nie,yes,yes,29,2.023193,5.278115
1,20799,nie,yes,yes,30,1.893555,5.278115
1,20799,nie,yes,yes,31,2.955078,5.278115
1,20799,nie,yes,yes,32,2.783203,5.278115
1,20799,nie,yes,yes,33,2.822266,5.278115
1,20799,nie,yes,yes,34,2.580078,5.278115
1,20799,nie,yes,yes,35,2.703979,5.278115
2,20272,correlation,yes,yes,0,2.954011,5.111988
2,20272,correlation,yes,yes,1,3.492188,5.111988
2,20272,correlation,yes,yes,2,2.725098,5.111988
2,20272,correlation,yes,yes,3,1.641968,5.111988
2,20272,correlation,yes,yes,4,1.167480,5.111988
2,20272,correlation,yes,yes,5,0.783154,5.111988
2,20272,correlation,yes,yes,6,1.681396,5.111988
2,20272,correlation,yes,yes,7,1.868652,5.111988
2,20272,correlation,yes,yes,8,1.985840,5.111988
2,20272,correlation,yes,yes,9,1.353760,5.111988
2,20272,correlation,yes,yes,10,2.047607,5.111988
2,20272,correlation,yes,yes,11,2.250488,5.111988
2,20272,correlation,yes,yes,12,1.968506,5.111988
2,20272,correlation,yes,yes,13,1.541016,5.111988
2,20272,correlation,yes,yes,14,1.580078,5.111988
2,20272,correlation,yes,yes,15,1.652832,5.111988
2,20272,correlation,yes,yes,16,2.675293,5.111988
2,20272,correlation,yes,yes,17,2.095581,5.111988
2,20272,correlation,yes,yes,18,2.460693,5.111988
2,20272,correlation,yes,yes,19,2.377319,5.111988
2,20272,correlation,yes,yes,20,2.233536,5.111988
2,20272,correlation,yes,yes,21,2.790039,5.111988
2,20272,correlation,yes,yes,22,2.880859,5.111988
2,20272,correlation,yes,yes,23,2.427979,5.111988
2,20272,correlation,yes,yes,24,2.105957,5.111988
2,20272,correlation,yes,yes,25,1.384277,5.111988
2,20272,correlation,yes,yes,26,1.732910,5.111988
2,20272,correlation,yes,yes,27,2.339356,5.111988
2,20272,correlation,yes,yes,28,2.086426,5.111988
2,20272,correlation,yes,yes,29,1.914795,5.111988
2,20272,correlation,yes,yes,30,1.943848,5.111988
2,20272,correlation,yes,yes,31,3.004395,5.111988
2,20272,correlation,yes,yes,32,2.684570,5.111988
2,20272,correlation,yes,yes,33,2.699219,5.111988
2,20272,correlation,yes,yes,34,2.779785,5.111988
2,20272,correlation,yes,yes,35,2.841309,5.111988
3,12013,ate,no,no,0,2.724104,4.682131
3,12013,ate,no,no,1,3.282227,4.682131
3,12013,ate,no,no,2,2.643066,4.682131
3,12013,ate,no,no,3,1.583496,4.682131
3,12013,ate,no,no,4,1.147461,4.682131
3,12013,ate,no,no,5,0.777216,4.682131
3,12013,ate,no,no,6,1.602539,4.682131
3,12013,ate,no,no,7,1.729736,4.682131
3,12013,ate,no,no,8,1.945068,4.682131
3,12013,ate,no,no,9,1.356567,4.682131
3,12013,ate,no,no,10,1.917725,4.682131
3,12013,ate,no,no,11,2.137939,4.682131
3,12013,ate,no,no,12,1.974121,4.682131
3,12013,ate,no,no,13,1.466553,4.682131
3,12013,ate,no,no,14,1.628174,4.682131
3,12013,ate,no,no,15,1.616211,4.682131
3,12013,ate,no,no,16,2.499023,4.682131
3,12013,ate,no,no,17,2.056030,4.682131
3,12013,ate,no,no,18,2.408691,4.682131
3,12013,ate,no,no,19,2.254150,4.682131
3,12013,ate,no,no,20,2.114136,4.682131
3,12013,ate,no,no,21,2.556519,4.682131
3,12013,ate,no,no,22,2.637207,4.682131
3,12013,ate,no,no,23,2.023193,4.682131
3,12013,ate,no,no,24,1.869385,4.682131
3,12013,ate,no,no,25,1.471680,4.682131
3,12013,ate,no,no,26,1.526611,4.682131
3,12013,ate,no,no,27,2.135742,4.682131
3,12013,ate,no,no,28,1.829102,4.682131
3,12013,ate,no,no,29,1.965942,4.682131
3,12013,ate,no,no,30,2.023193,4.682131
3,12013,ate,no,no,31,2.557617,4.682131
3,12013,ate,no,no,32,2.695312,4.682131
3,12013,ate,no,no,33,2.682617,4.682131
3,12013,ate,no,no,34,2.402100,4.682131
3,12013,ate,no,no,35,2.531860,4.682131
4,37642,det-counterfactual,yes,yes,0,2.844513,4.962845
4,37642,det-counterfactual,yes,yes,1,3.395264,4.962845
4,37642,det-counterfactual,yes,yes,2,2.753906,4.962845
4,37642,det-counterfactual,yes,yes,3,1.573730,4.962845
4,37642,det-counterfactual,yes,yes,4,1.193848,4.962845
4,37642,det-counterfactual,yes,yes,5,0.775734,4.962845
4,37642,det-counterfactual,yes,yes,6,1.681396,4.962845
4,37642,det-counterfactual,yes,yes,7,1.797974,4.962845
4,37642,det-counterfactual,yes,yes,8,1.948242,4.962845
4,37642,det-counterfactual,yes,yes,9,1.317505,4.962845
4,37642,det-counterfactual,yes,yes,10,1.999268,4.962845
4,37642,det-counterfactual,yes,yes,11,2.230957,4.962845
4,37642,det-counterfactual,yes,yes,12,2.030029,4.962845
4,37642,det-counterfactual,yes,yes,13,1.455322,4.962845
4,37642,det-counterfactual,yes,yes,14,1.623291,4.962845
4,37642,det-counterfactual,yes,yes,15,1.701172,4.962845
4,37642,det-counterfactual,yes,yes,16,2.533203,4.962845
4,37642,det-counterfactual,yes,yes,17,2.071045,4.962845
4,37642,det-counterfactual,yes,yes,18,2.440918,4.962845
4,37642,det-counterfactual,yes,yes,19,2.267578,4.962845
4,37642,det-counterfactual,yes,yes,20,2.234009,4.962845
4,37642,det-counterfactual,yes,yes,21,2.642334,4.962845
4,37642,det-counterfactual,yes,yes,22,2.763184,4.962845
4,37642,det-counterfactual,yes,yes,23,2.350830,4.962845
4,37642,det-counterfactual,yes,yes,24,2.418945,4.962845
4,37642,det-counterfactual,yes,yes,25,1.465332,4.962845
4,37642,det-counterfactual,yes,yes,26,2.362305,4.962845
4,37642,det-counterfactual,yes,yes,27,2.438965,4.962845
4,37642,det-counterfactual,yes,yes,28,2.132324,4.962845
4,37642,det-counterfactual,yes,yes,29,2.041748,4.962845
4,37642,det-counterfactual,yes,yes,30,1.865234,4.962845
4,37642,det-counterfactual,yes,yes,31,2.939941,4.962845
4,37642,det-counterfactual,yes,yes,32,2.591797,4.962845
4,37642,det-counterfactual,yes,yes,33,2.714844,4.962845
4,37642,det-counterfactual,yes,yes,34,2.655273,4.962845
4,37642,det-counterfactual,yes,yes,35,2.786865,4.962845
5,13802,ett,no,no,0,2.966574,5.030438
5,13802,ett,no,no,1,3.431641,5.030438
5,13802,ett,no,no,2,2.749023,5.030438
5,13802,ett,no,no,3,1.730347,5.030438
5,13802,ett,no,no,4,1.216431,5.030438
5,13802,ett,no,no,5,0.806325,5.030438
5,13802,ett,no,no,6,1.742920,5.030438
5,13802,ett,no,no,7,1.886963,5.030438
5,13802,ett,no,no,8,2.003174,5.030438
5,13802,ett,no,no,9,1.358521,5.030438
5,13802,ett,no,no,10,1.981934,5.030438
5,13802,ett,no,no,11,2.217285,5.030438
5,13802,ett,no,no,12,2.023926,5.030438
5,13802,ett,no,no,13,1.538330,5.030438
5,13802,ett,no,no,14,1.638184,5.030438
5,13802,ett,no,no,15,1.693359,5.030438
5,13802,ett,no,no,16,2.540527,5.030438
5,13802,ett,no,no,17,2.071289,5.030438
5,13802,ett,no,no,18,2.425537,5.030438
5,13802,ett,no,no,19,2.361328,5.030438
5,13802,ett,no,no,20,2.148117,5.030438
5,13802,ett,no,no,21,2.625977,5.030438
5,13802,ett,no,no,22,2.803223,5.030438
5,13802,ett,no,no,23,2.049316,5.030438
5,13802,ett,no,no,24,1.954834,5.030438
5,13802,ett,no,no,25,1.686035,5.030438
5,13802,ett,no,no,26,1.723755,5.030438
5,13802,ett,no,no,27,2.257324,5.030438
5,13802,ett,no,no,28,1.447754,5.030438
5,13802,ett,no,no,29,1.654053,5.030438
5,13802,ett,no,no,30,1.784668,5.030438
5,13802,ett,no,no,31,2.415527,5.030438
5,13802,ett,no,no,32,2.433594,5.030438
5,13802,ett,no,no,33,2.528320,5.030438
5,13802,ett,no,no,34,2.614258,5.030438
5,13802,ett,no,no,35,2.357056,5.030438
6,6176,ate,yes,yes,0,2.913133,4.934474
6,6176,ate,yes,yes,1,3.374512,4.934474
6,6176,ate,yes,yes,2,2.694092,4.934474
6,6176,ate,yes,yes,3,1.622070,4.934474
6,6176,ate,yes,yes,4,1.162354,4.934474
6,6176,ate,yes,yes,5,0.764415,4.934474
6,6176,ate,yes,yes,6,1.664307,4.934474
6,6176,ate,yes,yes,7,1.808472,4.934474
6,6176,ate,yes,yes,8,2.016846,4.934474
6,6176,ate,yes,yes,9,1.405640,4.934474
6,6176,ate,yes,yes,10,1.995361,4.934474
6,6176,ate,yes,yes,11,2.223389,4.934474
6,6176,ate,yes,yes,12,2.049316,4.934474
6,6176,ate,yes,yes,13,1.494385,4.934474
6,6176,ate,yes,yes,14,1.639893,4.934474
6,6176,ate,yes,yes,15,1.685059,4.934474
6,6176,ate,yes,yes,16,2.567383,4.934474
6,6176,ate,yes,yes,17,2.099121,4.934474
6,6176,ate,yes,yes,18,2.478271,4.934474
6,6176,ate,yes,yes,19,2.340820,4.934474
6,6176,ate,yes,yes,20,2.131683,4.934474
6,6176,ate,yes,yes,21,2.661377,4.934474
6,6176,ate,yes,yes,22,2.865723,4.934474
6,6176,ate,yes,yes,23,2.226074,4.934474
6,6176,ate,yes,yes,24,2.174316,4.934474
6,6176,ate,yes,yes,25,1.541748,4.934474
6,6176,ate,yes,yes,26,1.590088,4.934474
6,6176,ate,yes,yes,27,2.279785,4.934474
6,6176,ate,yes,yes,28,2.131836,4.934474
6,6176,ate,yes,yes,29,1.929199,4.934474
6,6176,ate,yes,yes,30,1.971680,4.934474
6,6176,ate,yes,yes,31,2.852539,4.934474
6,6176,ate,yes,yes,32,2.610352,4.934474
6,6176,ate,yes,yes,33,2.614258,4.934474
6,6176,ate,yes,yes,34,2.557617,4.934474
6,6176,ate,yes,yes,35,2.669922,4.934474
7,20521,nde,no,yes,0,3.328074,5.823046
7,20521,nde,no,yes,1,3.836914,5.823046
7,20521,nde,no,yes,2,2.876953,5.823046
7,20521,nde,no,yes,3,1.744751,5.823046
7,20521,nde,no,yes,4,1.229370,5.823046
7,20521,nde,no,yes,5,0.855096,5.823046
7,20521,nde,no,yes,6,1.798828,5.823046
7,20521,nde,no,yes,7,1.860352,5.823046
7,20521,nde,no,yes,8,2.097168,5.823046
7,20521,nde,no,yes,9,1.419556,5.823046
7,20521,nde,no,yes,10,2.099854,5.823046
7,20521,nde,no,yes,11,2.390869,5.823046
7,20521,nde,no,yes,12,2.107178,5.823046
7,20521,nde,no,yes,13,1.563721,5.823046
7,20521,nde,no,yes,14,1.676514,5.823046
7,20521,nde,no,yes,15,1.727783,5.823046
7,20521,nde,no,yes,16,2.628418,5.823046
7,20521,nde,no,yes,17,2.184814,5.823046
7,20521,nde,no,yes,18,2.544189,5.823046
7,20521,nde,no,yes,19,2.455566,5.823046
7,20521,nde,no,yes,20,2.319031,5.823046
7,20521,nde,no,yes,21,2.732300,5.823046
7,20521,nde,no,yes,22,2.958008,5.823046
7,20521,nde,no,yes,23,2.374023,5.823046
7,20521,nde,no,yes,24,2.385254,5.823046
7,20521,nde,no,yes,25,1.559692,5.823046
7,20521,nde,no,yes,26,1.972168,5.823046
7,20521,nde,no,yes,27,2.655274,5.823046
7,20521,nde,no,yes,28,2.270020,5.823046
7,20521,nde,no,yes,29,2.138428,5.823046
7,20521,nde,no,yes,30,2.011230,5.823046
7,20521,nde,no,yes,31,3.184082,5.823046
7,20521,nde,no,yes,32,2.916992,5.823046
7,20521,nde,no,yes,33,2.968750,5.823046
7,20521,nde,no,yes,34,2.478516,5.823046
7,20521,nde,no,yes,35,2.693726,5.823046
8,15588,marginal,no,no,0,2.904588,4.912655
8,15588,marginal,no,no,1,3.373047,4.912655
8,15588,marginal,no,no,2,2.728760,4.912655
8,15588,marginal,no,no,3,1.667603,4.912655
8,15588,marginal,no,no,4,1.187378,4.912655
8,15588,marginal,no,no,5,0.776945,4.912655
8,15588,marginal,no,no,6,1.726562,4.912655
8,15588,marginal,no,no,7,1.845459,4.912655
8,15588,marginal,no,no,8,2.004639,4.912655
8,15588,marginal,no,no,9,1.382812,4.912655
8,15588,marginal,no,no,10,2.003662,4.912655
8,15588,marginal,no,no,11,2.228271,4.912655
8,15588,marginal,no,no,12,1.955200,4.912655
8,15588,marginal,no,no,13,1.479248,4.912655
8,15588,marginal,no,no,14,1.658447,4.912655
8,15588,marginal,no,no,15,1.674072,4.912655
8,15588,marginal,no,no,16,2.555176,4.912655
8,15588,marginal,no,no,17,2.078735,4.912655
8,15588,marginal,no,no,18,2.486084,4.912655
8,15588,marginal,no,no,19,2.341064,4.912655
8,15588,marginal,no,no,20,2.163345,4.912655
8,15588,marginal,no,no,21,2.513916,4.912655
8,15588,marginal,no,no,22,2.755371,4.912655
8,15588,marginal,no,no,23,2.280762,4.912655
8,15588,marginal,no,no,24,2.239746,4.912655
8,15588,marginal,no,no,25,1.583740,4.912655
8,15588,marginal,no,no,26,1.880859,4.912655
8,15588,marginal,no,no,27,2.601563,4.912655
8,15588,marginal,no,no,28,2.096191,4.912655
8,15588,marginal,no,no,29,1.979248,4.912655
8,15588,marginal,no,no,30,1.927246,4.912655
8,15588,marginal,no,no,31,2.887695,4.912655
8,15588,marginal,no,no,32,2.668945,4.912655
8,15588,marginal,no,no,33,2.637207,4.912655
8,15588,marginal,no,no,34,2.346680,4.912655
8,15588,marginal,no,no,35,2.530884,4.912655
9,21588,ate,no,no,0,2.777096,4.744932
9,21588,ate,no,no,1,3.298828,4.744932
9,21588,ate,no,no,2,2.676270,4.744932
9,21588,ate,no,no,3,1.619263,4.744932
9,21588,ate,no,no,4,1.167114,4.744932
9,21588,ate,no,no,5,0.782312,4.744932
9,21588,ate,no,no,6,1.630127,4.744932
9,21588,ate,no,no,7,1.786011,4.744932
9,21588,ate,no,no,8,2.016602,4.744932
9,21588,ate,no,no,9,1.425049,4.744932
9,21588,ate,no,no,10,1.921875,4.744932
9,21588,ate,no,no,11,2.193848,4.744932
9,21588,ate,no,no,12,1.991211,4.744932
9,21588,ate,no,no,13,1.479736,4.744932
9,21588,ate,no,no,14,1.658447,4.744932
9,21588,ate,no,no,15,1.668213,4.744932
9,21588,ate,no,no,16,2.571289,4.744932
9,21588,ate,no,no,17,2.098511,4.744932
9,21588,ate,no,no,18,2.447754,4.744932
9,21588,ate,no,no,19,2.304077,4.744932
9,21588,ate,no,no,20,2.164413,4.744932
9,21588,ate,no,no,21,2.617188,4.744932
9,21588,ate,no,no,22,2.757812,4.744932
9,21588,ate,no,no,23,2.246826,4.744932
9,21588,ate,no,no,24,2.087402,4.744932
9,21588,ate,no,no,25,1.472412,4.744932
9,21588,ate,no,no,26,1.688354,4.744932
9,21588,ate,no,no,27,2.298340,4.744932
9,21588,ate,no,no,28,1.981445,4.744932
9,21588,ate,no,no,29,1.985596,4.744932
9,21588,ate,no,no,30,2.049072,4.744932
9,21588,ate,no,no,31,2.717285,4.744932
9,21588,ate,no,no,32,2.741211,4.744932
9,21588,ate,no,no,33,2.785156,4.744932
9,21588,ate,no,no,34,2.547852,4.744932
9,21588,ate,no,no,35,2.733765,4.744932
10,17568,ate,yes,yes,0,3.025034,5.209486
10,17568,ate,yes,yes,1,3.521973,5.209486
10,17568,ate,yes,yes,2,2.722656,5.209486
10,17568,ate,yes,yes,3,1.600952,5.209486
10,17568,ate,yes,yes,4,1.145508,5.209486
10,17568,ate,yes,yes,5,0.792683,5.209486
10,17568,ate,yes,yes,6,1.706787,5.209486
10,17568,ate,yes,yes,7,1.826416,5.209486
10,17568,ate,yes,yes,8,1.992920,5.209486
10,17568,ate,yes,yes,9,1.353271,5.209486
10,17568,ate,yes,yes,10,2.011230,5.209486
10,17568,ate,yes,yes,11,2.283936,5.209486
10,17568,ate,yes,yes,12,2.041992,5.209486
10,17568,ate,yes,yes,13,1.534912,5.209486
10,17568,ate,yes,yes,14,1.670898,5.209486
10,17568,ate,yes,yes,15,1.607422,5.209486
10,17568,ate,yes,yes,16,2.541504,5.209486
10,17568,ate,yes,yes,17,2.077271,5.209486
10,17568,ate,yes,yes,18,2.431885,5.209486
10,17568,ate,yes,yes,19,2.312012,5.209486
10,17568,ate,yes,yes,20,2.165421,5.209486
10,17568,ate,yes,yes,21,2.656616,5.209486
10,17568,ate,yes,yes,22,2.837402,5.209486
10,17568,ate,yes,yes,23,2.477539,5.209486
10,17568,ate,yes,yes,24,2.211426,5.209486
10,17568,ate,yes,yes,25,1.418579,5.209486
10,17568,ate,yes,yes,26,1.908936,5.209486
10,17568,ate,yes,yes,27,2.640869,5.209486
10,17568,ate,yes,yes,28,2.232910,5.209486
10,17568,ate,yes,yes,29,2.153809,5.209486
10,17568,ate,yes,yes,30,2.130859,5.209486
10,17568,ate,yes,yes,31,3.138672,5.209486
10,17568,ate,yes,yes,32,2.879883,5.209486
10,17568,ate,yes,yes,33,3.002930,5.209486
10,17568,ate,yes,yes,34,2.693848,5.209486
10,17568,ate,yes,yes,35,2.873047,5.209486
11,5135,backadj,yes,yes,0,2.869896,4.882802
11,5135,backadj,yes,yes,1,3.400879,4.882802
11,5135,backadj,yes,yes,2,2.837402,4.882802
11,5135,backadj,yes,yes,3,1.821167,4.882802
11,5135,backadj,yes,yes,4,1.244751,4.882802
11,5135,backadj,yes,yes,5,0.771360,4.882802
11,5135,backadj,yes,yes,6,1.659424,4.882802
11,5135,backadj,yes,yes,7,1.817383,4.882802
11,5135,backadj,yes,yes,8,1.998535,4.882802
11,5135,backadj,yes,yes,9,1.429077,4.882802
11,5135,backadj,yes,yes,10,2.128174,4.882802
11,5135,backadj,yes,yes,11,2.461670,4.882802
11,5135,backadj,yes,yes,12,2.072754,4.882802
11,5135,backadj,yes,yes,13,1.501221,4.882802
11,5135,backadj,yes,yes,14,1.652588,4.882802
11,5135,backadj,yes,yes,15,1.800049,4.882802
11,5135,backadj,yes,yes,16,2.624023,4.882802
11,5135,backadj,yes,yes,17,2.104492,4.882802
11,5135,backadj,yes,yes,18,2.534180,4.882802
11,5135,backadj,yes,yes,19,2.310547,4.882802
