example_idx,question_id,query_type,gold,pred,layer,rank,pos,token,attn_weight
0,11856,ate,yes,yes,0,1,107,Ċ,0.281250
0,11856,ate,yes,yes,0,2,104,Ċ,0.088867
0,11856,ate,yes,yes,0,3,106,assistant,0.041016
0,11856,ate,yes,yes,0,4,102,?,0.036621
0,11856,ate,yes,yes,0,5,3,Answer,0.031738
0,11856,ate,yes,yes,1,1,104,Ċ,0.137695
0,11856,ate,yes,yes,1,2,107,Ċ,0.136719
0,11856,ate,yes,yes,1,3,106,assistant,0.081055
0,11856,ate,yes,yes,1,4,105,<|im_start|>,0.049805
0,11856,ate,yes,yes,1,5,102,?,0.046387
0,11856,ate,yes,yes,2,1,107,Ċ,0.197266
0,11856,ate,yes,yes,2,2,106,assistant,0.187500
0,11856,ate,yes,yes,2,3,104,Ċ,0.147461
0,11856,ate,yes,yes,2,4,105,<|im_start|>,0.064941
0,11856,ate,yes,yes,2,5,102,?,0.029663
0,11856,ate,yes,yes,3,1,0,<|im_start|>,0.601562
0,11856,ate,yes,yes,3,2,23,Ċ,0.071777
0,11856,ate,yes,yes,3,3,106,assistant,0.050049
0,11856,ate,yes,yes,3,4,107,Ċ,0.041992
0,11856,ate,yes,yes,3,5,104,Ċ,0.038086
0,11856,ate,yes,yes,4,1,0,<|im_start|>,0.707031
0,11856,ate,yes,yes,4,2,106,assistant,0.084961
0,11856,ate,yes,yes,4,3,107,Ċ,0.045898
0,11856,ate,yes,yes,4,4,104,Ċ,0.037354
0,11856,ate,yes,yes,4,5,23,Ċ,0.025391
0,11856,ate,yes,yes,5,1,0,<|im_start|>,0.789062
0,11856,ate,yes,yes,5,2,107,Ċ,0.066895
0,11856,ate,yes,yes,5,3,106,assistant,0.049316
0,11856,ate,yes,yes,5,4,105,<|im_start|>,0.020386
0,11856,ate,yes,yes,5,5,3,Answer,0.009399
0,11856,ate,yes,yes,6,1,0,<|im_start|>,0.585938
0,11856,ate,yes,yes,6,2,107,Ċ,0.052734
0,11856,ate,yes,yes,6,3,106,assistant,0.047363
0,11856,ate,yes,yes,6,4,105,<|im_start|>,0.042236
0,11856,ate,yes,yes,6,5,23,Ċ,0.039551
0,11856,ate,yes,yes,7,1,0,<|im_start|>,0.593750
0,11856,ate,yes,yes,7,2,107,Ċ,0.074219
0,11856,ate,yes,yes,7,3,3,Answer,0.031494
0,11856,ate,yes,yes,7,4,106,assistant,0.029785
0,11856,ate,yes,yes,7,5,23,Ċ,0.026855
0,11856,ate,yes,yes,8,1,0,<|im_start|>,0.394531
0,11856,ate,yes,yes,8,2,20,Ċ,0.080078
0,11856,ate,yes,yes,8,3,104,Ċ,0.076660
0,11856,ate,yes,yes,8,4,107,Ċ,0.074219
0,11856,ate,yes,yes,8,5,17,Ġpunctuation,0.041260
0,11856,ate,yes,yes,9,1,0,<|im_start|>,0.636719
0,11856,ate,yes,yes,9,2,107,Ċ,0.078613
0,11856,ate,yes,yes,9,3,104,Ċ,0.063477
0,11856,ate,yes,yes,9,4,106,assistant,0.039551
0,11856,ate,yes,yes,9,5,105,<|im_start|>,0.032959
0,11856,ate,yes,yes,10,1,0,<|im_start|>,0.474609
0,11856,ate,yes,yes,10,2,107,Ċ,0.106445
0,11856,ate,yes,yes,10,3,104,Ċ,0.082031
0,11856,ate,yes,yes,10,4,20,Ċ,0.047607
0,11856,ate,yes,yes,10,5,102,?,0.035645
0,11856,ate,yes,yes,11,1,0,<|im_start|>,0.462891
0,11856,ate,yes,yes,11,2,107,Ċ,0.142578
0,11856,ate,yes,yes,11,3,104,Ċ,0.043457
0,11856,ate,yes,yes,11,4,102,?,0.029419
0,11856,ate,yes,yes,11,5,106,assistant,0.024780
0,11856,ate,yes,yes,12,1,0,<|im_start|>,0.445312
0,11856,ate,yes,yes,12,2,107,Ċ,0.152344
0,11856,ate,yes,yes,12,3,104,Ċ,0.044434
0,11856,ate,yes,yes,12,4,7,yes,0.034912
0,11856,ate,yes,yes,12,5,11,no,0.031250
0,11856,ate,yes,yes,13,1,0,<|im_start|>,0.609375
0,11856,ate,yes,yes,13,2,104,Ċ,0.085938
0,11856,ate,yes,yes,13,3,107,Ċ,0.060547
0,11856,ate,yes,yes,13,4,106,assistant,0.039062
0,11856,ate,yes,yes,13,5,105,<|im_start|>,0.028809
0,11856,ate,yes,yes,14,1,0,<|im_start|>,0.500000
0,11856,ate,yes,yes,14,2,107,Ċ,0.134766
0,11856,ate,yes,yes,14,3,104,Ċ,0.081543
0,11856,ate,yes,yes,14,4,105,<|im_start|>,0.053955
0,11856,ate,yes,yes,14,5,106,assistant,0.035400
0,11856,ate,yes,yes,15,1,0,<|im_start|>,0.546875
0,11856,ate,yes,yes,15,2,107,Ċ,0.131836
0,11856,ate,yes,yes,15,3,104,Ċ,0.075195
0,11856,ate,yes,yes,15,4,105,<|im_start|>,0.027344
0,11856,ate,yes,yes,15,5,103,<|im_end|>,0.020630
0,11856,ate,yes,yes,16,1,0,<|im_start|>,0.192383
0,11856,ate,yes,yes,16,2,107,Ċ,0.119629
0,11856,ate,yes,yes,16,3,11,no,0.111816
0,11856,ate,yes,yes,16,4,104,Ċ,0.070801
0,11856,ate,yes,yes,16,5,8,',0.058105
0,11856,ate,yes,yes,17,1,0,<|im_start|>,0.431641
0,11856,ate,yes,yes,17,2,107,Ċ,0.090820
0,11856,ate,yes,yes,17,3,104,Ċ,0.053223
0,11856,ate,yes,yes,17,4,11,no,0.048096
0,11856,ate,yes,yes,17,5,12,'.,0.031250
0,11856,ate,yes,yes,18,1,0,<|im_start|>,0.267578
0,11856,ate,yes,yes,18,2,107,Ċ,0.146484
0,11856,ate,yes,yes,18,3,104,Ċ,0.094727
0,11856,ate,yes,yes,18,4,102,?,0.048828
0,11856,ate,yes,yes,18,5,12,'.,0.048096
0,11856,ate,yes,yes,19,1,0,<|im_start|>,0.347656
0,11856,ate,yes,yes,19,2,107,Ċ,0.094238
0,11856,ate,yes,yes,19,3,102,?,0.065430
0,11856,ate,yes,yes,19,4,104,Ċ,0.051270
0,11856,ate,yes,yes,19,5,7,yes,0.050293
0,11856,ate,yes,yes,20,1,0,<|im_start|>,0.453125
0,11856,ate,yes,yes,20,2,107,Ċ,0.099121
0,11856,ate,yes,yes,20,3,102,?,0.054932
0,11856,ate,yes,yes,20,4,104,Ċ,0.030273
0,11856,ate,yes,yes,20,5,94,ĠWill,0.025024
0,11856,ate,yes,yes,21,1,102,?,0.168945
0,11856,ate,yes,yes,21,2,107,Ċ,0.131836
0,11856,ate,yes,yes,21,3,0,<|im_start|>,0.094238
0,11856,ate,yes,yes,21,4,93,%.,0.074219
0,11856,ate,yes,yes,21,5,80,%.,0.047363
0,11856,ate,yes,yes,22,1,0,<|im_start|>,0.217773
0,11856,ate,yes,yes,22,2,107,Ċ,0.091797
0,11856,ate,yes,yes,22,3,102,?,0.081543
0,11856,ate,yes,yes,22,4,95,Ġsmoking,0.074219
0,11856,ate,yes,yes,22,5,104,Ċ,0.055420
0,11856,ate,yes,yes,23,1,0,<|im_start|>,0.234375
0,11856,ate,yes,yes,23,2,95,Ġsmoking,0.134766
0,11856,ate,yes,yes,23,3,102,?,0.111816
0,11856,ate,yes,yes,23,4,107,Ċ,0.098145
0,11856,ate,yes,yes,23,5,106,assistant,0.059570
0,11856,ate,yes,yes,24,1,0,<|im_start|>,0.277344
0,11856,ate,yes,yes,24,2,102,?,0.153320
0,11856,ate,yes,yes,24,3,107,Ċ,0.122559
0,11856,ate,yes,yes,24,4,95,Ġsmoking,0.076660
0,11856,ate,yes,yes,24,5,101,Ġcancer,0.057617
0,11856,ate,yes,yes,25,1,0,<|im_start|>,0.535156
0,11856,ate,yes,yes,25,2,7,yes,0.104980
0,11856,ate,yes,yes,25,3,107,Ċ,0.090820
0,11856,ate,yes,yes,25,4,102,?,0.045654
0,11856,ate,yes,yes,25,5,92,7,0.036133
0,11856,ate,yes,yes,26,1,0,<|im_start|>,0.271484
0,11856,ate,yes,yes,26,2,96,Ġincrease,0.216797
0,11856,ate,yes,yes,26,3,95,Ġsmoking,0.140625
0,11856,ate,yes,yes,26,4,107,Ċ,0.071289
0,11856,ate,yes,yes,26,5,7,yes,0.059082
0,11856,ate,yes,yes,27,1,0,<|im_start|>,0.281250
0,11856,ate,yes,yes,27,2,107,Ċ,0.152344
0,11856,ate,yes,yes,27,3,7,yes,0.074707
0,11856,ate,yes,yes,27,4,102,?,0.052246
0,11856,ate,yes,yes,27,5,96,Ġincrease,0.045410
0,11856,ate,yes,yes,28,1,0,<|im_start|>,0.470703
0,11856,ate,yes,yes,28,2,107,Ċ,0.096191
0,11856,ate,yes,yes,28,3,102,?,0.055420
0,11856,ate,yes,yes,28,4,106,assistant,0.054932
