query_type,gpt-5-nano-baseline__n,gpt-5-nano-baseline__acc,gpt-5-nano-baseline__ci_lo,gpt-5-nano-baseline__ci_hi,gpt-oss-20b-baseline__n,gpt-oss-20b-baseline__acc,gpt-oss-20b-baseline__ci_lo,gpt-oss-20b-baseline__ci_hi,olmo3-7b-instruct-baseline__n,olmo3-7b-instruct-baseline__acc,olmo3-7b-instruct-baseline__ci_lo,olmo3-7b-instruct-baseline__ci_hi,qwen25-3b-instruct-baseline__n,qwen25-3b-instruct-baseline__acc,qwen25-3b-instruct-baseline__ci_lo,qwen25-3b-instruct-baseline__ci_hi,olmo3-7b-instruct-lora__n,olmo3-7b-instruct-lora__acc,olmo3-7b-instruct-lora__ci_lo,olmo3-7b-instruct-lora__ci_hi,qwen25-3b-instruct-lora__n,qwen25-3b-instruct-lora__acc,qwen25-3b-instruct-lora__ci_lo,qwen25-3b-instruct-lora__ci_hi
nde,316,0.8069620253164557,0.7598641834618377,0.8466863266418511,316,0.7246835443037974,0.6729585927504176,0.7710113682533133,316,0.5,0.44520376537653134,0.5547962346234687,316,0.5569620253164557,0.5018341020817781,0.610721662679731,316,0.7246835443037974,0.6729585927504176,0.7710113682533133,316,0.6962025316455697,0.6433898144895631,0.7443022641334134
ate,1422,0.9345991561181435,0.9205423013043715,0.9463142431969288,1422,0.8727144866385372,0.8543815327161345,0.8890391284257574,1422,0.6237693389592124,0.5982886761109051,0.6485830906079119,1422,0.6336146272855133,0.6082431824851983,0.6582661111317064,1422,0.9064697609001406,0.890221536229919,0.9205277885625595,1422,0.870604781997187,0.8521563583583613,0.887056261305369
marginal,1580,0.9765822784810126,0.9678895608381534,0.9829631849419364,1580,0.9512658227848101,0.9395112203636593,0.9608314193988956,1580,0.5348101265822784,0.5101610954465647,0.5592903003275453,1580,0.5316455696202531,0.506993858972579,0.5561437735493392,1580,0.8082278481012658,0.7880770196465644,0.8268835211169198,1580,0.830379746835443,0.8110782076649525,0.8480786758638745
nie,790,0.7759493670886076,0.745578431099736,0.8036496233882571,790,0.6316455696202532,0.5974479717999346,0.6645690817172731,790,0.5873417721518988,0.5526695605914169,0.6211686768382689,790,0.5215189873417722,0.48666519455919116,0.5561645161118909,790,0.760759493670886,0.7297936911266998,0.7892016264169999,790,0.730379746835443,0.6983751398983142,0.7601547037567993
backadj,1580,0.8056962025316455,0.7854548508554678,0.8244546793062629,1580,0.509493670886076,0.48485086690853463,0.5340904228480409,1580,0.5575949367088607,0.5329945515907837,0.5819159395991076,1580,0.5075949367088608,0.48295514362382896,0.5321978881814314,1580,0.6841772151898734,0.660833386733234,0.7066276345443304,1580,0.6930379746835443,0.6698499368515388,0.715289621532163
ett,1264,0.8607594936708861,0.8405787648763507,0.8787540772980278,1264,0.7191455696202531,0.6937346621378228,0.7432284897970517,1264,0.46835443037974683,0.44098296919046487,0.49591765868897564,1264,0.47389240506329117,0.4464865828101141,0.5014564351904244,1264,0.8631329113924051,0.8430814288756603,0.8809838662077603,1264,0.8386075949367089,0.8173051308376722,0.8578581508523146
correlation,1422,0.9521800281293952,0.9398191414344198,0.9621044153848942,1422,0.9430379746835443,0.9297551703322936,0.9539335400816534,1422,0.5049226441631505,0.4789579403667034,0.5308608230823404,1422,0.5576652601969058,0.5317299141446521,0.583289886258433,1422,0.7165963431786216,0.6926143186807449,0.7394112730771848,1422,0.629395218002813,0.6039756034165658,0.6541176072440156
exp_away,158,0.9810126582278481,0.9456688269800894,0.9935219162793524,158,0.9683544303797469,0.9280665333019532,0.9864086640822399,158,0.43670886075949367,0.36178364913786076,0.514638621485897,158,0.379746835443038,0.3077754233976651,0.4574268907874746,158,0.8987341772151899,0.8418377243447033,0.9367019707256234,158,0.8291139240506329,0.7627869028449865,0.8798172899114733
collider_bias,158,0.5189873417721519,0.4415585434486676,0.5955147753642054,158,0.5379746835443038,0.46025816470988046,0.6138884729158649,158,0.5063291139240507,0.4291525517284712,0.5832052212091531,158,0.5,0.42296764003406445,0.5770323599659355,158,0.9873417721518988,0.9550267506545783,0.9965217655424877,158,0.9746835443037974,0.9367211009939065,0.990111869327911
det-counterfactual,1422,0.7841068917018285,0.7619717672047135,0.804711151854389,1422,0.7334739803094233,0.7098867687839729,0.7558031547992499,1422,0.5337552742616034,0.5077706858369592,0.5595579778136274,1422,0.5070323488045007,0.48106326680676675,0.5329635381204386,1422,0.7988748241912799,0.7772481983052254,0.8188910111010087,1422,0.7953586497890295,0.7736071149356937,0.8155186920069376
overall,10112,0.8709454113924051,0.8642697776037418,0.8773393144860213,10112,0.7721518987341772,0.7638741500983673,0.7802229497232877,10112,0.5392602848101266,0.5295319005759033,0.5489588511062177,10112,0.5323378164556962,0.5226023811102684,0.5420486914339472,10112,0.7932159810126582,0.7852115893070623,0.8009976770342194,10112,0.7726463607594937,0.7643746815275172,0.7807109668039882
