query_type,base_n,base_correct,base_acc,base_ci_lo,base_ci_hi,ft_n,ft_correct,ft_acc,ft_ci_lo,ft_ci_hi,delta_acc
ate,1422,1045,0.7348804500703235,0.7113280286960877,0.7571672558725764,1422,1283,0.9022503516174403,0.8857139241866463,0.9166193176495088,0.16736990154711673
backadj,1580,845,0.5348101265822784,0.5101610954465647,0.5592903003275453,1580,997,0.6310126582278481,0.6069289137527202,0.6544608848880217,0.09620253164556969
collider_bias,158,110,0.6962025316455697,0.6205388090949906,0.762552151971361,158,151,0.9556962025316456,0.9113836070723899,0.9783760444365547,0.2594936708860759
correlation,1422,735,0.5168776371308017,0.4908942199678752,0.542770111857418,1422,992,0.6976090014064698,0.6732308470574115,0.7209223713970632,0.18073136427566805
det-counterfactual,1422,809,0.5689170182841069,0.5430256874574277,0.5944370008291862,1422,1264,0.8888888888888888,0.8714952522892668,0.9041870601851977,0.31997187060478194
ett,1264,660,0.5221518987341772,0.4945893655945795,0.5495801948898121,1264,1127,0.8916139240506329,0.8732746684539408,0.9075800615379832,0.36946202531645567
exp_away,158,99,0.6265822784810127,0.5489942920341988,0.6981611667182859,158,132,0.8354430379746836,0.769804619896184,0.8851573457979002,0.2088607594936709
marginal,1580,867,0.5487341772151899,0.5241087307357222,0.5731232233480321,1580,1446,0.9151898734177215,0.9004254094896396,0.9279403291979287,0.3664556962025316
nde,316,162,0.5126582278481012,0.4577273133845703,0.567285078784654,316,263,0.8322784810126582,0.7871478138108693,0.8694274806312682,0.319620253164557
nie,790,396,0.5012658227848101,0.4664780760798889,0.5360413186654688,790,600,0.759493670886076,0.72848065913716,0.7879952636611822,0.25822784810126587
overall,10112,5728,0.5664556962025317,0.5567733252915419,0.5760875944323507,10112,8255,0.8163568037974683,0.8086904466824995,0.8237828899197804,0.24990110759493667
