query_type,gpt-5-nano-baseline__n,gpt-5-nano-baseline__acc,gpt-5-nano-baseline__ci_lo,gpt-5-nano-baseline__ci_hi,gpt-oss-20b-baseline__n,gpt-oss-20b-baseline__acc,gpt-oss-20b-baseline__ci_lo,gpt-oss-20b-baseline__ci_hi,olmo3-7b-instruct-baseline__n,olmo3-7b-instruct-baseline__acc,olmo3-7b-instruct-baseline__ci_lo,olmo3-7b-instruct-baseline__ci_hi,qwen25-3b-instruct-baseline__n,qwen25-3b-instruct-baseline__acc,qwen25-3b-instruct-baseline__ci_lo,qwen25-3b-instruct-baseline__ci_hi,olmo3-7b-instruct-lora__n,olmo3-7b-instruct-lora__acc,olmo3-7b-instruct-lora__ci_lo,olmo3-7b-instruct-lora__ci_hi,qwen25-3b-instruct-lora__n,qwen25-3b-instruct-lora__acc,qwen25-3b-instruct-lora__ci_lo,qwen25-3b-instruct-lora__ci_hi
ate,1518,0.9519104084321476,0.9399598639137405,0.96157951264076,1518,0.9347826086956522,0.921231565912037,0.9461386797526429,1518,0.7127799736495388,0.6895039590556762,0.7349817823832503,1518,0.6870882740447958,0.6633152784396668,0.7099167666645287,1518,0.9407114624505929,0.927681722699684,0.9515162990422416,1518,0.9137022397891963,0.8985113682137141,0.9268045625096478
ett,1288,0.8773291925465838,0.8582826181059348,0.8941316919962713,1288,0.7694099378881988,0.7456258147286232,0.7915918099739807,1288,0.45652173913043476,0.42948849723561444,0.4838135575674235,1288,0.48990683229813664,0.4626768836186686,0.5171968076748938,1288,0.9510869565217391,0.9379077615571193,0.9615834198613616,1288,0.9448757763975155,0.9310375616780395,0.9560681989980182
nie,874,0.7105263157894737,0.6795899778299662,0.7396201156354038,874,0.6109839816933639,0.5782439889632237,0.6427526363962378,874,0.6395881006864989,0.6072107055180243,0.6707438129753189,874,0.5663615560640732,0.5332867094283679,0.5988556026422379,874,0.7574370709382151,0.7279334170812897,0.7846876211236467,874,0.7414187643020596,0.7113782621171328,0.7693463559328296
nde,552,0.8152173913043478,0.7806998322006986,0.8453779719601087,552,0.7427536231884058,0.7046985072779032,0.7774533648919139,552,0.5036231884057971,0.4620328115691888,0.5451634850303608,552,0.5579710144927537,0.5162823330787633,0.5988584125140289,552,0.7590579710144928,0.7216703600179255,0.7928648468498645,552,0.7210144927536232,0.6821706611175437,0.7568034314549764
marginal,1702,0.9800235017626322,0.9722152715186008,0.9856697602648568,1702,0.9759106933019976,0.9674844085861984,0.9821935299016846,1702,0.5282021151586369,0.5044489699046097,0.5518282412650426,1702,0.527027027027027,0.5032734504875461,0.5506588768833706,1702,0.800235017626322,0.780573372961758,0.8185444376151659,1702,0.8401880141010576,0.8220161802326188,0.8568276795013124
correlation,1518,0.9657444005270093,0.9553552550733495,0.9737822656613908,1518,0.9367588932806324,0.9233782142939838,0.9479346233964446,1518,0.5138339920948617,0.4886878692566879,0.538910274923552,1518,0.569828722002635,0.5447772258907778,0.5945276923523374,1518,0.7371541501976284,0.7144321072910126,0.7586789357988127,1518,0.6310935441370223,0.6065183807659238,0.6550068902753963
backadj,1702,0.7972972972972973,0.7775386790585146,0.8157169220215703,1702,0.4806110458284371,0.4569451907550832,0.5043642265657807,1702,0.6216216216216216,0.5983314254079594,0.6443640477611664,1702,0.5352526439482961,0.5115048474166111,0.5588416665454543,1702,0.8108108108108109,0.7915116757576032,0.8287100890079403,1702,0.8378378378378378,0.8195687489740716,0.8545853431623885
exp_away,184,0.9891304347826086,0.9612408144472387,0.9970140944002309,184,0.9293478260869565,0.8828860481965088,0.9582488162362701,184,0.41847826086956524,0.3495798251353583,0.4907110233900635,184,0.3695652173913043,0.30315431748692856,0.4413110401537461,184,0.8967391304347826,0.8443592546195452,0.9328919492234024,184,0.8478260869565217,0.7888566579017828,0.8925690550564178
collider_bias,184,0.5163043478260869,0.44450547468405033,0.5874363556108652,184,0.5434782608695652,0.4713517142183921,0.6138264999013829,184,0.4945652173913043,0.4231778111848097,0.5661749120502184,184,0.5,0.4284973118991558,0.5715026881008443,184,0.9945652173913043,0.9698622032794392,0.9990399823330024,184,0.9945652173913043,0.9698622032794392,0.9990399823330024
det-counterfactual,870,0.8080459770114943,0.7805442006354082,0.832839376659456,870,0.7471264367816092,0.7172004771468777,0.7748796315038528,870,0.5402298850574713,0.5070086481109252,0.573097416088031,870,0.5183908045977011,0.485180899228365,0.551439015834015,870,0.8126436781609195,0.7853616290828281,0.8371769269776309,870,0.8160919540229885,0.7889785291262877,0.8404262610083676
overall,10392,0.8773094688221709,0.870861833607217,0.8834782581557442,10392,0.7867590454195535,0.7787787496148202,0.7945274155097972,10392,0.5660123171670516,0.5564605916254377,0.575515257124726,10392,0.5543687451886066,0.5447941889592954,0.5639031208713786,10392,0.8323710546574288,0.825066743705515,0.8394297309053669,10392,0.8191878367975366,0.8116707887892161,0.8264689929954672
