query_type,n,correct,acc,ci_lo,ci_hi
marginal,1702,1362,0.800235017626322,0.780573372961758,0.8185444376151659
correlation,1518,1119,0.7371541501976284,0.7144321072910126,0.7586789357988127
backadj,1702,1380,0.8108108108108109,0.7915116757576032,0.8287100890079403
ate,1518,1428,0.9407114624505929,0.927681722699684,0.9515162990422416
ett,1288,1225,0.9510869565217391,0.9379077615571193,0.9615834198613616
nie,874,662,0.7574370709382151,0.7279334170812897,0.7846876211236467
nde,552,419,0.7590579710144928,0.7216703600179255,0.7928648468498645
det-counterfactual,870,707,0.8126436781609195,0.7853616290828281,0.8371769269776309
exp_away,184,165,0.8967391304347826,0.8443592546195452,0.9328919492234024
collider_bias,184,183,0.9945652173913043,0.9698622032794392,0.9990399823330024
overall,10392,8650,0.8323710546574288,0.825066743705515,0.8394297309053669
