query_type,n,correct,acc,ci_lo,ci_hi
marginal,1702,1430,0.8401880141010576,0.8220161802326188,0.8568276795013124
correlation,1518,958,0.6310935441370223,0.6065183807659238,0.6550068902753963
backadj,1702,1426,0.8378378378378378,0.8195687489740716,0.8545853431623885
ate,1518,1387,0.9137022397891963,0.8985113682137141,0.9268045625096478
ett,1288,1217,0.9448757763975155,0.9310375616780395,0.9560681989980182
nie,874,648,0.7414187643020596,0.7113782621171328,0.7693463559328296
nde,552,398,0.7210144927536232,0.6821706611175437,0.7568034314549764
det-counterfactual,870,710,0.8160919540229885,0.7889785291262877,0.8404262610083676
exp_away,184,156,0.8478260869565217,0.7888566579017828,0.8925690550564178
collider_bias,184,183,0.9945652173913043,0.9698622032794392,0.9990399823330024
overall,10392,8513,0.8191878367975366,0.8116707887892161,0.8264689929954672
