query_type,n,correct,acc,ci_lo,ci_hi
marginal,1644,1529,0.9300486618004866,0.9166901976211864,0.9414020614556992
correlation,1476,1403,0.9505420054200542,0.9382637238063353,0.9604812005721824
backadj,1644,722,0.4391727493917275,0.41535215495080724,0.4632769456040887
ate,1476,1222,0.8279132791327913,0.807812024020011,0.8463121013923237
ett,1296,991,0.7646604938271605,0.7408037292668629,0.786952940859959
nie,828,541,0.6533816425120773,0.6203257878209233,0.6850208588346752
nde,384,303,0.7890625,0.7454960241946053,0.8269028128844252
det-counterfactual,1476,1039,0.7039295392953929,0.6801345229842014,0.7266658112081802
exp_away,168,162,0.9642857142857143,0.9242826143228314,0.9835309079237199
collider_bias,168,87,0.5178571428571429,0.4427471898154345,0.5921687148863561
overall,10560,7999,0.7574810606060606,0.7492136228185439,0.7655612364216359
