query_type,n,correct,acc,ci_lo,ci_hi
marginal,1644,1372,0.8345498783454988,0.8158118886081367,0.8517280583399354
correlation,1476,1057,0.7161246612466124,0.6925847911258274,0.7385424733504842
backadj,1644,1092,0.6642335766423357,0.641045684893025,0.6866557436087557
ate,1476,1351,0.9153116531165312,0.9000074097148624,0.9284597160656359
ett,1296,1130,0.8719135802469136,0.8526139026157611,0.8890150040930673
nie,828,645,0.7789855072463768,0.749470730886035,0.8059235634245417
nde,384,300,0.78125,0.7372276610754047,0.8197009371636519
det-counterfactual,1476,1221,0.8272357723577236,0.8071064490654895,0.8456661802199602
exp_away,168,127,0.7559523809523809,0.685756510424069,0.8147047903015938
collider_bias,168,163,0.9702380952380952,0.9322302809239952,0.9872218762231527
overall,10560,8458,0.8009469696969697,0.793222561128973,0.8084525042131717
