query_type,n,correct,acc,ci_lo,ci_hi
marginal,1644,1333,0.8108272506082725,0.79117910512164,0.8290261910428417
correlation,1475,850,0.576271186440678,0.550887122972159,0.6012590037528971
backadj,1644,1022,0.621654501216545,0.5979533710053391,0.644788427884869
ate,1475,1233,0.8359322033898305,0.8161645282314344,0.8539546343664789
ett,1295,1043,0.8054054054054054,0.7829532646922956,0.8260510095616247
nie,827,543,0.656590084643289,0.6235698549616336,0.6881623019382251
nde,384,243,0.6328125,0.5835053831523943,0.6794886771271601
det-counterfactual,1476,1204,0.8157181571815718,0.7951277499447993,0.8346694451836056
exp_away,168,113,0.6726190476190477,0.5984932281060817,0.7390271840112259
collider_bias,168,158,0.9404761904761905,0.8939090877359056,0.9673498949082583
overall,10556,7742,0.73342175066313,0.7249028936647289,0.7417707793461111
