query_type,gpt-5-nano-baseline__n,gpt-5-nano-baseline__acc,gpt-5-nano-baseline__ci_lo,gpt-5-nano-baseline__ci_hi,gpt-oss-20b-baseline__n,gpt-oss-20b-baseline__acc,gpt-oss-20b-baseline__ci_lo,gpt-oss-20b-baseline__ci_hi,olmo3-7b-instruct-baseline__n,olmo3-7b-instruct-baseline__acc,olmo3-7b-instruct-baseline__ci_lo,olmo3-7b-instruct-baseline__ci_hi,qwen25-3b-instruct-baseline__n,qwen25-3b-instruct-baseline__acc,qwen25-3b-instruct-baseline__ci_lo,qwen25-3b-instruct-baseline__ci_hi,olmo3-7b-instruct-lora__n,olmo3-7b-instruct-lora__acc,olmo3-7b-instruct-lora__ci_lo,olmo3-7b-instruct-lora__ci_hi,qwen25-3b-instruct-lora__n,qwen25-3b-instruct-lora__acc,qwen25-3b-instruct-lora__ci_lo,qwen25-3b-instruct-lora__ci_hi
ett,1280,0.90703125,0.8898822821031591,0.921744412798216,1280,0.76875,0.7448683099191148,0.7910234041808336,1280,0.534375,0.5069863446249117,0.5615579443878724,1280,0.4953125,0.46797740502222,0.5226756464760366,1280,0.84296875,0.8220143464435816,0.8618707189339687,1280,0.76640625,0.7424506455424972,0.7887675943065794
nie,800,0.78625,0.7565092831338857,0.8132548102383649,800,0.62,0.5858671532112921,0.6529859164993456,800,0.56875,0.5341834713336787,0.6026594331880407,800,0.51375,0.47913259204411907,0.548235988860225,800,0.685,0.6519920284332809,0.7162397873706191,800,0.665,0.6315735335608991,0.6968494372912278
marginal,1600,0.971875,0.9625749186644709,0.9789146479603402,1600,0.93,0.9164406861526263,0.9414994752220361,1600,0.521875,0.49737578762741086,0.5462694240704281,1600,0.55375,0.5292925301222132,0.5779499900496196,1600,0.82125,0.8017136163306895,0.839247492603288,1600,0.8175,0.797820725969508,0.8356583466734111
backadj,1600,0.783125,0.762266319980763,0.8026274199941236,1600,0.449375,0.42515151300177045,0.4738409970689452,1600,0.539375,0.5148863109113898,0.5636750701447203,1600,0.55,0.525532413760537,0.5742280701202378,1600,0.6,0.575783493783764,0.6237374739777852,1600,0.531875,0.5073781176838597,0.5562191907901342
correlation,1440,0.9486111111111111,0.9359666558132357,0.9588684329750333,1440,0.9486111111111111,0.9359666558132357,0.9588684329750333,1440,0.5,0.47420958436022503,0.525790415639775,1440,0.5354166666666667,0.5095966307773963,0.5610482446532565,1440,0.6694444444444444,0.6447251319229261,0.6932621152354912,1440,0.6125,0.5870697844891838,0.6373315845258313
ate,1440,0.9173611111111111,0.9020053029571438,0.9304960722158435,1440,0.7909722222222222,0.7692102819680212,0.8111858514720481,1440,0.6277777777777778,0.6025014682976413,0.652374160707067,1440,0.5416666666666666,0.5158548604166319,0.5672567577370772,1440,0.8666666666666667,0.8481298915417498,0.8832523482108913,1440,0.8340277777777778,0.8139275606991082,0.8523505781664608
exp_away,160,0.9875,0.9555746308159091,0.9965653288918735,160,0.9875,0.9555746308159091,0.9965653288918735,160,0.5875,0.510041245495629,0.6608556703493577,160,0.4875,0.4112556929842917,0.564330461894996,160,0.73125,0.6577316340908198,0.7939245006423591,160,0.63125,0.5542327024207806,0.7021126713466993
collider_bias,160,0.59375,0.5163168856257644,0.6667869527795783,160,0.51875,0.4418022192288147,0.5948185484522539,160,0.5,0.4234392476991226,0.5765607523008773,160,0.5,0.4234392476991226,0.5765607523008773,160,0.93125,0.8810970775754896,0.9611805790890873,160,0.925,0.8734917309593303,0.9565790031448905
nde,320,0.821875,0.7762100459448823,0.8599036893074622,320,0.778125,0.7294513453938242,0.8202003287562597,320,0.5,0.44554323083557534,0.5544567691644247,320,0.521875,0.4672102690965187,0.5760207614546113,320,0.75,0.6997803683357158,0.7942885522486294,320,0.671875,0.6186573263916911,0.721015056510046
det-counterfactual,1440,0.7388888888888889,0.7155880088702613,0.7609186018776717,1440,0.6895833333333333,0.6652089974622144,0.7129488651371625,1440,0.5201388888888889,0.49431576475563793,0.5458548506853216,1440,0.49930555555555556,0.4735170123511224,0.5250977940129824,1440,0.8048611111111111,0.7835920427894709,0.8245079633685015,1440,0.8,0.7785540596716903,0.819849591035016
overall,10240,0.86572265625,0.8589816002603168,0.8721894189426957,10240,0.74951171875,0.7410269028093402,0.7578094000114065,10240,0.54140625,0.5317414866058158,0.5510399585589577,10240,0.5279296875,0.5182518445277674,0.5375865831069621,10240,0.7595703125,0.7511968919385213,0.7677490544010265,10240,0.71982421875,0.7110448797962565,0.7284386887554073
