query_type,base_n,base_correct,base_acc,base_ci_lo,base_ci_hi,ft_n,ft_correct,ft_acc,ft_ci_lo,ft_ci_hi,delta_acc
ate,1440,1071,0.74375,0.7205739417652722,0.7656290244339267,1440,1258,0.8736111111111111,0.8554486413426942,0.8897855347688984,0.1298611111111111
backadj,1600,799,0.499375,0.47490632401570254,0.5238466699357878,1600,960,0.6,0.575783493783764,0.6237374739777852,0.10062499999999996
collider_bias,160,87,0.54375,0.4664502260758939,0.6189982318465993,160,140,0.875,0.814809889465813,0.9176054641555581,0.33125000000000004
correlation,1440,770,0.5347222222222222,0.5089015220970543,0.5603581596977034,1440,1024,0.7111111111111111,0.6871638717513746,0.7339349935607522,0.17638888888888893
det-counterfactual,1440,803,0.5576388888888889,0.5318665983720477,0.58310447340725,1440,1277,0.8868055555555555,0.869401683891821,0.9021511713017794,0.3291666666666666
ett,1280,715,0.55859375,0.5312559922032777,0.5855808640685133,1280,1070,0.8359375,0.8146499860829287,0.8552146565420066,0.27734375
exp_away,160,98,0.6125,0.5352180445200426,0.6845065615663689,160,106,0.6625,0.5861852427313052,0.7311947438379556,0.04999999999999993
marginal,1600,971,0.606875,0.5827129999566817,0.6305250343384744,1600,1444,0.9025,0.8869864248735814,0.9160854703666547,0.2956249999999999
nde,320,160,0.5,0.44554323083557534,0.5544567691644247,320,247,0.771875,0.7228336359835369,0.8144663151519383,0.271875
nie,800,399,0.49875,0.4641913729161118,0.5333205742744025,800,564,0.705,0.6724791425206225,0.7355615182350503,0.20624999999999993
overall,10240,5873,0.57353515625,0.5639303462549411,0.5830848146155178,10240,8090,0.7900390625,0.7820425771883865,0.7978180174799572,0.21650390625000004
