query_type,n,correct,acc,ci_lo,ci_hi
marginal,1600,1314,0.82125,0.8017136163306895,0.839247492603288
correlation,1440,964,0.6694444444444444,0.6447251319229261,0.6932621152354912
backadj,1600,960,0.6,0.575783493783764,0.6237374739777852
ate,1440,1248,0.8666666666666667,0.8481298915417498,0.8832523482108913
ett,1280,1079,0.84296875,0.8220143464435816,0.8618707189339687
nie,800,548,0.685,0.6519920284332809,0.7162397873706191
nde,320,240,0.75,0.6997803683357158,0.7942885522486294
det-counterfactual,1440,1159,0.8048611111111111,0.7835920427894709,0.8245079633685015
exp_away,160,117,0.73125,0.6577316340908198,0.7939245006423591
collider_bias,160,149,0.93125,0.8810970775754896,0.9611805790890873
overall,10240,7778,0.7595703125,0.7511968919385213,0.7677490544010265
