query_type,gpt-5-nano-baseline__n,gpt-5-nano-baseline__acc,gpt-5-nano-baseline__ci_lo,gpt-5-nano-baseline__ci_hi,gpt-oss-20b-baseline__n,gpt-oss-20b-baseline__acc,gpt-oss-20b-baseline__ci_lo,gpt-oss-20b-baseline__ci_hi,gpt54-baseline__n,gpt54-baseline__acc,gpt54-baseline__ci_lo,gpt54-baseline__ci_hi,llama31-8b-instruct-baseline__n,llama31-8b-instruct-baseline__acc,llama31-8b-instruct-baseline__ci_lo,llama31-8b-instruct-baseline__ci_hi,olmo3-32b-instruct-baseline__n,olmo3-32b-instruct-baseline__acc,olmo3-32b-instruct-baseline__ci_lo,olmo3-32b-instruct-baseline__ci_hi,olmo3-7b-instruct-baseline__n,olmo3-7b-instruct-baseline__acc,olmo3-7b-instruct-baseline__ci_lo,olmo3-7b-instruct-baseline__ci_hi,qwen25-3b-instruct-baseline__n,qwen25-3b-instruct-baseline__acc,qwen25-3b-instruct-baseline__ci_lo,qwen25-3b-instruct-baseline__ci_hi,llama31-8b-instruct-lora__n,llama31-8b-instruct-lora__acc,llama31-8b-instruct-lora__ci_lo,llama31-8b-instruct-lora__ci_hi,olmo3-32b-instruct-lora__n,olmo3-32b-instruct-lora__acc,olmo3-32b-instruct-lora__ci_lo,olmo3-32b-instruct-lora__ci_hi,olmo3-7b-instruct-lora__n,olmo3-7b-instruct-lora__acc,olmo3-7b-instruct-lora__ci_lo,olmo3-7b-instruct-lora__ci_hi,qwen25-3b-instruct-lora__n,qwen25-3b-instruct-lora__acc,qwen25-3b-instruct-lora__ci_lo,qwen25-3b-instruct-lora__ci_hi
ate,1518,0.9617918313570487,0.9509246487167987,0.9703276879664445,1518,0.9209486166007905,0.9062883380891348,0.9334837633953051,1518,0.9051383399209486,0.8893582260190902,0.9188731392593614,1518,0.7720685111989459,0.7502943089965198,0.792469193214863,1518,0.8478260869565217,0.828880506702947,0.8650156898287968,1518,0.5895915678524374,0.5646501505533644,0.6140806879472361,1518,0.7154150197628458,0.6921949080216642,0.7375476227849272,1518,0.9571805006587615,0.945789812109744,0.9662631431800858,1518,0.9472990777338604,0.9348875917142843,0.957452403446803,1518,0.9486166007905138,0.9363342781867645,0.9586341116581549,1518,0.9183135704874835,0.9034567143614678,0.9310585977553074
ett,1288,0.860248447204969,0.8402393944992324,0.8781150085613101,1288,0.7065217391304348,0.681069026526845,0.7307462131587247,1288,0.7732919254658385,0.7496325480833755,0.7953259645832428,1288,0.5248447204968945,0.4975389206301268,0.5520027623395658,1288,0.4192546583850932,0.3925860731716658,0.44640345717683333,1288,0.4301242236024845,0.4033332747518241,0.4573307418959155,1288,0.46195652173913043,0.43488294996896665,0.4892563479836916,1288,0.9829192546583851,0.974273070369359,0.9886933923540406,1288,0.9658385093167702,0.9544516650117756,0.9744548906699602,1288,0.9464285714285714,0.9327507584821209,0.9574513573795427,1288,0.9479813664596274,0.9344667770461474,0.9588316940011219
nie,874,0.7368421052631579,0.7066575820704177,0.7649537730781235,874,0.5938215102974829,0.5609200892830845,0.625901800196048,874,0.631578947368421,0.5990880122727809,0.6629182961430753,874,0.4851258581235698,0.452129745618014,0.5182521499523675,874,0.494279176201373,0.4612305895697304,0.5273778318034933,874,0.602974828375286,0.5701543532822488,0.6348940619997256,874,0.5102974828375286,0.4771836286845683,0.5433212128436291,874,0.7745995423340961,0.745730632258379,0.8010651418268864,874,0.7219679633867276,0.6913428805904216,0.750650370128501,874,0.7334096109839817,0.7031197214975294,0.7616566864749462,874,0.7208237986270023,0.6901665279716801,0.7495484070218875
nde,552,0.8260869565217391,0.7922426300716396,0.8554240638878163,552,0.7771739130434783,0.7406102395331655,0.8099064503323721,552,0.6992753623188406,0.6597507998237784,0.7360455131514447,552,0.5362318840579711,0.494523582495541,0.5774393834999543,552,0.572463768115942,0.5308323434670466,0.6130935885239437,552,0.5018115942028986,0.4602329245683085,0.5433652237314661,552,0.5760869565217391,0.5344754222484467,0.6166468063420931,552,0.8931159420289855,0.8645705992898741,0.9162275817612476,552,0.7644927536231884,0.7273429488937377,0.7979867028733765,552,0.7880434782608695,0.7520186108820446,0.8200869687821413,552,0.7028985507246377,0.663480256323841,0.7395123532509317
marginal,1702,0.9794359576968272,0.9715355593259205,0.9851770305581691,1702,0.9488836662749707,0.9373728586830172,0.9583727524339491,1702,0.8290246768507638,0.8104022970172713,0.8461651666286725,1702,0.5240893066980024,0.5003352264191129,0.5477348914549652,1702,0.5528789659224442,0.5291653259596917,0.5763544449834065,1702,0.5129259694477086,0.4891774490004749,0.536616272785616,1702,0.5094007050528789,0.48565639572980984,0.5331026746600743,1702,0.9018801410105758,0.8868295000335332,0.9151207591340126,1702,0.86427732079906,0.8471833747995084,0.8797306028085009,1702,0.7978848413631022,0.778145491466454,0.8162825515129989,1702,0.8407755581668626,0.8226282441586529,0.8573880574746463
correlation,1518,0.9578392621870883,0.9465213120681633,0.9668458405635829,1518,0.9519104084321476,0.9399598639137405,0.96157951264076,1518,0.7108036890645586,0.6874863635504392,0.7330567858627387,1518,0.5065876152832675,0.4814523660215755,0.5316896073975863,1518,0.5830039525691699,0.5580213164762613,0.6075675486051775,1518,0.497364953886693,0.47225115769231524,0.5224920529400202,1518,0.5731225296442688,0.5480865603482887,0.5977893446044074,1518,0.7193675889328063,0.696233107993155,0.7413946068649333,1518,0.7931488801054019,0.7720452128357176,0.8127726043169832,1518,0.7562582345191041,0.7340310271043705,0.7771917389010242,1518,0.6488801054018445,0.6245200214646309,0.672488577808426
backadj,1702,0.8166862514688602,0.7975979274152881,0.834348256343933,1702,0.4935370152761457,0.46982622324905776,0.5172769158578968,1702,0.8772032902467685,0.8607559110981722,0.8919517882959278,1702,0.5381903642773208,0.5144461953314393,0.5617625281274649,1702,0.4935370152761457,0.46982622324905776,0.5172769158578968,1702,0.6075205640423031,0.5841049455890426,0.6304519219952569,1702,0.518213866039953,0.4944612379171964,0.5418844609632041,1702,0.7467685076380729,0.7255690759063588,0.7668565218280993,1702,0.8437132784958872,0.8256898189996447,0.8601886921304931,1702,0.8225616921269095,0.8036912190513972,0.8399793837015015,1702,0.8307873090481787,0.8122341778893729,0.8478506114546744
exp_away,184,0.9891304347826086,0.9612408144472387,0.9970140944002309,184,0.907608695652174,0.8570310893122134,0.9415146680606782,184,0.9782608695652174,0.9454459829976677,0.9915143723198584,184,0.6902173913043478,0.6200867809530995,0.7525679058209164,184,0.7391304347826086,0.6712550165093764,0.7972251611493865,184,0.44565217391304346,0.3756758870034865,0.5178513453467946,184,0.4945652173913043,0.4231778111848097,0.5661749120502184,184,0.8913043478260869,0.8380769174316812,0.9285270096462944,184,0.8913043478260869,0.8380769174316812,0.9285270096462944,184,0.8967391304347826,0.8443592546195452,0.9328919492234024,184,0.8695652173913043,0.8132564907372257,0.9107583292808625
collider_bias,184,0.5543478260869565,0.48214865465320533,0.6243241129965135,184,0.5597826086956522,0.4875597425336642,0.6295603018810267,184,0.6847826086956522,0.6144556859754271,0.7475517240336171,184,0.8586956521739131,0.8010091104437027,0.9017111560444417,184,0.5,0.4284973118991558,0.5715026881008443,184,0.532608695652174,0.4605882494066694,0.603295411183162,184,0.5,0.4284973118991558,0.5715026881008443,184,0.9891304347826086,0.9612408144472387,0.9970140944002309,184,1.0,0.9795494623774134,0.9999999999999999,184,1.0,0.9795494623774134,0.9999999999999999,184,0.9891304347826086,0.9612408144472387,0.9970140944002309
det-counterfactual,870,0.7885057471264367,0.7601318341503456,0.8143430833907397,870,0.7701149425287356,0.7410047651348063,0.7968502373438989,870,0.6586206896551724,0.6264767003282075,0.6893700670848195,870,0.6149425287356322,0.5821697533633126,0.646704715776562,870,0.5218390804597701,0.48862318104296354,0.5548629680936126,870,0.5264367816091954,0.49321533934704764,0.5594257885551234,870,0.5218390804597701,0.48862318104296354,0.5548629680936126,870,0.9517241379310345,0.9353883597157588,0.9640883040039485,870,0.960919540229885,0.945885943516029,0.9719006777348682,870,0.8436781609195402,0.8180414470640579,0.8662932156641671,870,0.8747126436781609,0.8510544895491439,0.8950762798468475
