query_type,n,correct,acc,ci_lo,ci_hi
marginal,1702,1667,0.9794359576968272,0.9715355593259205,0.9851770305581691
correlation,1518,1454,0.9578392621870883,0.9465213120681633,0.9668458405635829
backadj,1702,1390,0.8166862514688602,0.7975979274152881,0.834348256343933
ate,1518,1460,0.9617918313570487,0.9509246487167987,0.9703276879664445
ett,1288,1108,0.860248447204969,0.8402393944992324,0.8781150085613101
nie,874,644,0.7368421052631579,0.7066575820704177,0.7649537730781235
nde,552,456,0.8260869565217391,0.7922426300716396,0.8554240638878163
det-counterfactual,870,686,0.7885057471264367,0.7601318341503456,0.8143430833907397
exp_away,184,182,0.9891304347826086,0.9612408144472387,0.9970140944002309
collider_bias,184,102,0.5543478260869565,0.48214865465320533,0.6243241129965135
overall,10392,9149,0.8803887605850654,0.8740086718363681,0.8864877277400119
