query_type,n,correct,acc,ci_lo,ci_hi
marginal,1702,1615,0.9488836662749707,0.9373728586830172,0.9583727524339491
correlation,1518,1445,0.9519104084321476,0.9399598639137405,0.96157951264076
backadj,1702,840,0.4935370152761457,0.46982622324905776,0.5172769158578968
ate,1518,1398,0.9209486166007905,0.9062883380891348,0.9334837633953051
ett,1288,910,0.7065217391304348,0.681069026526845,0.7307462131587247
nie,874,519,0.5938215102974829,0.5609200892830845,0.625901800196048
nde,552,429,0.7771739130434783,0.7406102395331655,0.8099064503323721
det-counterfactual,870,670,0.7701149425287356,0.7410047651348063,0.7968502373438989
exp_away,184,167,0.907608695652174,0.8570310893122134,0.9415146680606782
collider_bias,184,103,0.5597826086956522,0.4875597425336642,0.6295603018810267
overall,10392,8096,0.7790608160123171,0.7709818543492288,0.7869335412418417
