query_type,base_n,base_correct,base_acc,base_ci_lo,base_ci_hi,ft_n,ft_correct,ft_acc,ft_ci_lo,ft_ci_hi,delta_acc
ate,1518,1172,0.7720685111989459,0.7502943089965198,0.792469193214863,1518,1453,0.9571805006587615,0.945789812109744,0.9662631431800858,0.18511198945981555
backadj,1702,916,0.5381903642773208,0.5144461953314393,0.5617625281274649,1702,1271,0.7467685076380729,0.7255690759063588,0.7668565218280993,0.2085781433607521
collider_bias,184,158,0.8586956521739131,0.8010091104437027,0.9017111560444417,184,182,0.9891304347826086,0.9612408144472387,0.9970140944002309,0.13043478260869557
correlation,1518,769,0.5065876152832675,0.4814523660215755,0.5316896073975863,1518,1092,0.7193675889328063,0.696233107993155,0.7413946068649333,0.21277997364953882
det-counterfactual,870,535,0.6149425287356322,0.5821697533633126,0.646704715776562,870,828,0.9517241379310345,0.9353883597157588,0.9640883040039485,0.33678160919540234
ett,1288,676,0.5248447204968945,0.4975389206301268,0.5520027623395658,1288,1266,0.9829192546583851,0.974273070369359,0.9886933923540406,0.4580745341614907
exp_away,184,127,0.6902173913043478,0.6200867809530995,0.7525679058209164,184,164,0.8913043478260869,0.8380769174316812,0.9285270096462944,0.20108695652173914
marginal,1702,892,0.5240893066980024,0.5003352264191129,0.5477348914549652,1702,1535,0.9018801410105758,0.8868295000335332,0.9151207591340126,0.37779083431257343
nde,552,296,0.5362318840579711,0.494523582495541,0.5774393834999543,552,493,0.8931159420289855,0.8645705992898741,0.9162275817612476,0.3568840579710144
nie,874,424,0.4851258581235698,0.452129745618014,0.5182521499523675,874,677,0.7745995423340961,0.745730632258379,0.8010651418268864,0.2894736842105263
overall,10392,5965,0.5739992301770592,0.5644662559543459,0.5834775161868724,10392,8961,0.8622979214780601,0.8555387407285313,0.8687893504440138,0.28829869130100083
