query_type,n,correct,acc,ci_lo,ci_hi
marginal,1702,1358,0.7978848413631022,0.778145491466454,0.8162825515129989
correlation,1518,1148,0.7562582345191041,0.7340310271043705,0.7771917389010242
backadj,1702,1400,0.8225616921269095,0.8036912190513972,0.8399793837015015
ate,1518,1440,0.9486166007905138,0.9363342781867645,0.9586341116581549
ett,1288,1219,0.9464285714285714,0.9327507584821209,0.9574513573795427
nie,874,641,0.7334096109839817,0.7031197214975294,0.7616566864749462
nde,552,435,0.7880434782608695,0.7520186108820446,0.8200869687821413
det-counterfactual,870,734,0.8436781609195402,0.8180414470640579,0.8662932156641671
exp_away,184,165,0.8967391304347826,0.8443592546195452,0.9328919492234024
collider_bias,184,184,1.0,0.9795494623774134,0.9999999999999999
overall,10392,8724,0.8394919168591224,0.8323090865730169,0.8464238498563958
