query_type,n,correct,acc,ci_lo,ci_hi
marginal,1702,1431,0.8407755581668626,0.8226282441586529,0.8573880574746463
correlation,1518,985,0.6488801054018445,0.6245200214646309,0.672488577808426
backadj,1702,1414,0.8307873090481787,0.8122341778893729,0.8478506114546744
ate,1518,1394,0.9183135704874835,0.9034567143614678,0.9310585977553074
ett,1288,1221,0.9479813664596274,0.9344667770461474,0.9588316940011219
nie,874,630,0.7208237986270023,0.6901665279716801,0.7495484070218875
nde,552,388,0.7028985507246377,0.663480256323841,0.7395123532509317
det-counterfactual,870,761,0.8747126436781609,0.8510544895491439,0.8950762798468475
exp_away,184,160,0.8695652173913043,0.8132564907372257,0.9107583292808625
collider_bias,184,182,0.9891304347826086,0.9612408144472387,0.9970140944002309
overall,10392,8566,0.8242879137798307,0.8168513571080201,0.8314848094926378
