query_type,n,correct,acc,ci_lo,ci_hi
marginal,1580,1543,0.9765822784810126,0.9678895608381534,0.9829631849419364
correlation,1422,1354,0.9521800281293952,0.9398191414344198,0.9621044153848942
backadj,1580,1273,0.8056962025316455,0.7854548508554678,0.8244546793062629
ate,1422,1329,0.9345991561181435,0.9205423013043715,0.9463142431969288
ett,1264,1088,0.8607594936708861,0.8405787648763507,0.8787540772980278
nie,790,613,0.7759493670886076,0.745578431099736,0.8036496233882571
nde,316,255,0.8069620253164557,0.7598641834618377,0.8466863266418511
det-counterfactual,1422,1115,0.7841068917018285,0.7619717672047135,0.804711151854389
exp_away,158,155,0.9810126582278481,0.9456688269800894,0.9935219162793524
collider_bias,158,82,0.5189873417721519,0.4415585434486676,0.5955147753642054
overall,10112,8807,0.8709454113924051,0.8642697776037418,0.8773393144860213
