query_type,n,correct,acc,ci_lo,ci_hi
marginal,1580,1277,0.8082278481012658,0.7880770196465644,0.8268835211169198
correlation,1422,1019,0.7165963431786216,0.6926143186807449,0.7394112730771848
backadj,1580,1081,0.6841772151898734,0.660833386733234,0.7066276345443304
ate,1422,1289,0.9064697609001406,0.890221536229919,0.9205277885625595
ett,1264,1091,0.8631329113924051,0.8430814288756603,0.8809838662077603
nie,790,601,0.760759493670886,0.7297936911266998,0.7892016264169999
nde,316,229,0.7246835443037974,0.6729585927504176,0.7710113682533133
det-counterfactual,1422,1136,0.7988748241912799,0.7772481983052254,0.8188910111010087
exp_away,158,142,0.8987341772151899,0.8418377243447033,0.9367019707256234
collider_bias,158,156,0.9873417721518988,0.9550267506545783,0.9965217655424877
overall,10112,8021,0.7932159810126582,0.7852115893070623,0.8009976770342194
