query_type,n,correct,acc,ci_lo,ci_hi
marginal,1580,1312,0.830379746835443,0.8110782076649525,0.8480786758638745
correlation,1422,895,0.629395218002813,0.6039756034165658,0.6541176072440156
backadj,1580,1095,0.6930379746835443,0.6698499368515388,0.715289621532163
ate,1422,1238,0.870604781997187,0.8521563583583613,0.887056261305369
ett,1264,1060,0.8386075949367089,0.8173051308376722,0.8578581508523146
nie,790,577,0.730379746835443,0.6983751398983142,0.7601547037567993
nde,316,220,0.6962025316455697,0.6433898144895631,0.7443022641334134
det-counterfactual,1422,1131,0.7953586497890295,0.7736071149356937,0.8155186920069376
exp_away,158,131,0.8291139240506329,0.7627869028449865,0.8798172899114733
collider_bias,158,154,0.9746835443037974,0.9367211009939065,0.990111869327911
overall,10112,7813,0.7726463607594937,0.7643746815275172,0.7807109668039882
