query_type,n,correct,acc,ci_lo,ci_hi
marginal,1702,1668,0.9800235017626322,0.9722152715186008,0.9856697602648568
correlation,1518,1466,0.9657444005270093,0.9553552550733495,0.9737822656613908
backadj,1702,1357,0.7972972972972973,0.7775386790585146,0.8157169220215703
ate,1518,1445,0.9519104084321476,0.9399598639137405,0.96157951264076
ett,1288,1130,0.8773291925465838,0.8582826181059348,0.8941316919962713
nie,874,621,0.7105263157894737,0.6795899778299662,0.7396201156354038
nde,552,450,0.8152173913043478,0.7806998322006986,0.8453779719601087
det-counterfactual,870,703,0.8080459770114943,0.7805442006354082,0.832839376659456
exp_away,184,182,0.9891304347826086,0.9612408144472387,0.9970140944002309
collider_bias,184,95,0.5163043478260869,0.44450547468405033,0.5874363556108652
overall,10392,9117,0.8773094688221709,0.870861833607217,0.8834782581557442
