query_type,n,correct,acc,ci_lo,ci_hi
marginal,1702,1661,0.9759106933019976,0.9674844085861984,0.9821935299016846
correlation,1518,1422,0.9367588932806324,0.9233782142939838,0.9479346233964446
backadj,1702,818,0.4806110458284371,0.4569451907550832,0.5043642265657807
ate,1518,1419,0.9347826086956522,0.921231565912037,0.9461386797526429
ett,1288,991,0.7694099378881988,0.7456258147286232,0.7915918099739807
nie,874,534,0.6109839816933639,0.5782439889632237,0.6427526363962378
nde,552,410,0.7427536231884058,0.7046985072779032,0.7774533648919139
det-counterfactual,870,650,0.7471264367816092,0.7172004771468777,0.7748796315038528
exp_away,184,171,0.9293478260869565,0.8828860481965088,0.9582488162362701
collider_bias,184,100,0.5434782608695652,0.4713517142183921,0.6138264999013829
overall,10392,8176,0.7867590454195535,0.7787787496148202,0.7945274155097972
