query_type,base_n,base_correct,base_acc,base_ci_lo,base_ci_hi,ft_n,ft_correct,ft_acc,ft_ci_lo,ft_ci_hi,delta_acc
ate,1518,1146,0.7549407114624506,0.732677574860863,0.7759167964606991,1518,1412,0.930171277997365,0.9162349951550971,0.9419358691161696,0.17523056653491442
backadj,1702,943,0.5540540540540541,0.5303437516151622,0.5775209031266714,1702,1288,0.7567567567567568,0.735810368494754,0.7765467415289559,0.20270270270270274
collider_bias,184,122,0.6630434782608695,0.5920326274513317,0.7273856754978247,184,182,0.9891304347826086,0.9612408144472387,0.9970140944002309,0.32608695652173914
correlation,1518,781,0.5144927536231884,0.4893459034725167,0.5395664380496392,1518,1049,0.6910408432147562,0.6673387620708802,0.7137784670848124,0.17654808959156787
det-counterfactual,870,510,0.5862068965517241,0.553170789682557,0.6184850621723489,870,794,0.9126436781609195,0.8920209693949335,0.9296383748172163,0.3264367816091954
ett,1288,742,0.5760869565217391,0.5489117923205074,0.6028096117741761,1288,1260,0.9782608695652174,0.9687602458508958,0.9849171513156864,0.40217391304347827
exp_away,184,117,0.6358695652173914,0.5642227730552749,0.7019591460690224,184,160,0.8695652173913043,0.8132564907372257,0.9107583292808625,0.23369565217391297
marginal,1702,848,0.4982373678025852,0.47451416014304865,0.521968514158848,1702,1531,0.899529964747356,0.8843358161558724,0.9129246754142023,0.4012925969447708
nde,552,297,0.5380434782608695,0.49633379600278743,0.5792273182924822,552,462,0.8369565217391305,0.8038299090852444,0.86542567467286,0.298913043478261
nie,874,423,0.4839816933638444,0.45099291682778764,0.5171106630172385,874,656,0.7505720823798627,0.720831996164354,0.7781191476884507,0.26659038901601834
overall,10392,5929,0.5705350269438029,0.5609936094303755,0.5800243164207467,10392,8794,0.8462278675904542,0.8391644797657107,0.8530353800055555,0.27569284064665134
