query_type,gpt-5-nano-baseline__n,gpt-5-nano-baseline__acc,gpt-5-nano-baseline__ci_lo,gpt-5-nano-baseline__ci_hi,gpt-oss-20b-baseline__n,gpt-oss-20b-baseline__acc,gpt-oss-20b-baseline__ci_lo,gpt-oss-20b-baseline__ci_hi,gpt-oss-20b-nothink-test__n,gpt-oss-20b-nothink-test__acc,gpt-oss-20b-nothink-test__ci_lo,gpt-oss-20b-nothink-test__ci_hi,gpt-oss-20b-think-test__n,gpt-oss-20b-think-test__acc,gpt-oss-20b-think-test__ci_lo,gpt-oss-20b-think-test__ci_hi,gpt54-baseline__n,gpt54-baseline__acc,gpt54-baseline__ci_lo,gpt54-baseline__ci_hi,llama31-8b-instruct-baseline__n,llama31-8b-instruct-baseline__acc,llama31-8b-instruct-baseline__ci_lo,llama31-8b-instruct-baseline__ci_hi,olmo3-32b-instruct-baseline__n,olmo3-32b-instruct-baseline__acc,olmo3-32b-instruct-baseline__ci_lo,olmo3-32b-instruct-baseline__ci_hi,olmo3-7b-instruct-baseline__n,olmo3-7b-instruct-baseline__acc,olmo3-7b-instruct-baseline__ci_lo,olmo3-7b-instruct-baseline__ci_hi,qwen25-3b-instruct-baseline__n,qwen25-3b-instruct-baseline__acc,qwen25-3b-instruct-baseline__ci_lo,qwen25-3b-instruct-baseline__ci_hi,llama31-8b-instruct-lora__n,llama31-8b-instruct-lora__acc,llama31-8b-instruct-lora__ci_lo,llama31-8b-instruct-lora__ci_hi,olmo3-32b-instruct-lora__n,olmo3-32b-instruct-lora__acc,olmo3-32b-instruct-lora__ci_lo,olmo3-32b-instruct-lora__ci_hi,olmo3-7b-instruct-lora__n,olmo3-7b-instruct-lora__acc,olmo3-7b-instruct-lora__ci_lo,olmo3-7b-instruct-lora__ci_hi,qwen25-3b-instruct-lora__n,qwen25-3b-instruct-lora__acc,qwen25-3b-instruct-lora__ci_lo,qwen25-3b-instruct-lora__ci_hi
ate,1476,0.9376693766937669,0.9241636463528233,0.9489028516148796,1476,0.8279132791327913,0.807812024020011,0.8463121013923237,2.0,1.0,0.34238022750665303,1.0,2.0,1.0,0.34238022750665303,1.0,1475,0.8657627118644068,0.8474117039965714,0.8822134992760304,1476,0.768970189701897,0.7467858273182306,0.7897581350551099,1476,0.8157181571815718,0.7951277499447993,0.8346694451836056,1476,0.6483739837398373,0.623658484089559,0.6723191676982535,1476,0.6246612466124661,0.599665218523211,0.6490100688236271,1476,0.9071815718157181,0.8913024164115121,0.9209467558463663,1476,0.907859078590786,0.8920264716431232,0.9215741967416402,1476,0.9153116531165312,0.9000074097148624,0.9284597160656359,1476,0.8787262872628726,0.8610819009149486,0.8944044340137602
marginal,1644,0.9708029197080292,0.9615028364790605,0.9779079252260447,1644,0.9300486618004866,0.9166901976211864,0.9414020614556992,5.0,1.0,0.5655175352168251,1.0,5.0,0.8,0.3755346297625253,0.9637758913675698,1644,0.8917274939172749,0.8757839628069761,0.9058446296194937,1644,0.5802919708029197,0.5562760745787414,0.6039335126887959,1644,0.5924574209245742,0.5685159469369684,0.6159678202195898,1644,0.524330900243309,0.5001614280711992,0.5483869317068424,1644,0.5492700729927007,0.525131148519355,0.5731792800311792,1644,0.9251824817518248,0.9114496987103107,0.9369328884109664,1644,0.8941605839416058,0.8783600567395409,0.9081233716647332,1644,0.8345498783454988,0.8158118886081367,0.8517280583399354,1644,0.8418491484184915,0.8234167528013794,0.8586877020801051
nie,828,0.7971014492753623,0.768365989348125,0.8230928695280735,828,0.6533816425120773,0.6203257878209233,0.6850208588346752,1.0,1.0,0.20654931437723745,1.0,1.0,0.0,0.0,0.7934506856227626,828,0.6557971014492754,0.6227831977020819,0.6873720575622662,828,0.4927536231884058,0.45881263896738766,0.5267615352063636,828,0.5374396135265701,0.5033836648951698,0.5711497685404489,828,0.5833333333333334,0.549443528336931,0.6164534686649297,828,0.5241545893719807,0.490104531231382,0.5579815548561139,828,0.7910628019323671,0.7620585168340049,0.8173788205203195,828,0.7789855072463768,0.749470730886035,0.8059235634245417,828,0.7789855072463768,0.749470730886035,0.8059235634245417,828,0.748792270531401,0.7181479144015258,0.7771387722996811
backadj,1644,0.7816301703163017,0.7610153821564176,0.800931882274414,1644,0.4391727493917275,0.41535215495080724,0.4632769456040887,1.0,0.0,0.0,0.7934506856227626,1.0,0.0,0.0,0.7934506856227626,1643,0.7388922702373707,0.7171137045283744,0.7595563451570031,1644,0.5164233576642335,0.4922567826845207,0.5405133601656574,1644,0.5,0.47585871502361116,0.5241412849763889,1644,0.5632603406326034,0.5391651287503809,0.5870606066725272,1644,0.5468369829683698,0.5226924142990257,0.5707631782737044,1644,0.6423357664233577,0.6188591315357728,0.6651487731657706,1644,0.6678832116788321,0.6447487041607786,0.6902349783077085,1644,0.6642335766423357,0.641045684893025,0.6866557436087557,1644,0.6246958637469586,0.6010248794823185,0.6477854643801446
ett,1296,0.8850308641975309,0.8665147337345537,0.9012712091030094,1296,0.7646604938271605,0.7408037292668629,0.786952940859959,1.0,1.0,0.20654931437723745,1.0,1.0,0.0,0.0,0.7934506856227626,1296,0.7523148148148148,0.7280905596025069,0.7750477235796236,1296,0.558641975308642,0.5314742400233279,0.5854630979639563,1296,0.4868827160493827,0.4597493420740764,0.514093621797189,1296,0.5054012345679012,0.478205385775669,0.5325651585126334,1296,0.4791666666666667,0.4520703038220655,0.5063861682087678,1296,0.8904320987654321,0.8722588000219504,0.906297687103915,1296,0.9027777777777778,0.8854379386832985,0.9177369353872584,1296,0.8719135802469136,0.8526139026157611,0.8890150040930673,1296,0.8240740740740741,0.8023951076548063,0.8438375496433429
nde,384,0.875,0.8381628713865551,0.9044085929321871,384,0.7890625,0.7454960241946053,0.8269028128844252,,,,,,,,,384,0.7421875,0.6961885425440776,0.78338886149511,384,0.5026041666666666,0.4528178259657241,0.5523389203142672,384,0.6223958333333334,0.5729210441463584,0.6694460310132311,384,0.5026041666666666,0.4528178259657241,0.5523389203142672,384,0.5416666666666666,0.49166412052940417,0.5908438199504559,384,0.8567708333333334,0.8181951467420455,0.8882790936167578,384,0.8645833333333334,0.8267279120709657,0.8952165671278115,384,0.78125,0.7372276610754047,0.8197009371636519,384,0.7552083333333334,0.7098149485117263,0.7955461869274177
correlation,1476,0.9640921409214093,0.9533314814774675,0.97244336543875,1476,0.9505420054200542,0.9382637238063353,0.9604812005721824,,,,,,,,,1476,0.6619241192411924,0.6373981992797343,0.685609375045778,1476,0.5142276422764228,0.48872621473600014,0.5396552039285846,1476,0.573170731707317,0.5477795496944958,0.5981820320090828,1476,0.4986449864498645,0.4731738137683142,0.5241231939779158,1476,0.5494579945799458,0.5239794338563782,0.5746797834062259,1476,0.736449864498645,0.7133814380604735,0.7582907102223877,1476,0.7296747967479674,0.7064426223585066,0.7517145646555045,1476,0.7161246612466124,0.6925847911258274,0.7385424733504842,1476,0.6395663956639567,0.6147391936234308,0.6636690085148771
exp_away,168,0.9642857142857143,0.9242826143228314,0.9835309079237199,168,0.9642857142857143,0.9242826143228314,0.9835309079237199,,,,,,,,,168,0.9166666666666666,0.8649917781202374,0.9497126649215393,168,0.5416666666666666,0.46623203773529126,0.6152384065688863,168,0.7142857142857143,0.6417818841081123,0.7772089723133729,168,0.4523809523809524,0.37902026703643743,0.5278706537587882,168,0.4107142857142857,0.3391273539140302,0.4862931225770177,168,0.7023809523809523,0.6293474400706631,0.7663661465496283,168,0.8511904761904762,0.7895513119940527,0.897128147141159,168,0.7559523809523809,0.685756510424069,0.8147047903015938,168,0.7202380952380952,0.6480198920280686,0.7826095992940134
collider_bias,168,0.5416666666666666,0.46623203773529126,0.6152384065688863,168,0.5178571428571429,0.4427471898154345,0.5921687148863561,,,,,,,,,168,0.6190476190476191,0.5437300926779663,0.6890426053339699,168,0.6130952380952381,0.5377032490898431,0.6834308140214963,168,0.5,0.4252426118201885,0.5747573881798115,168,0.5,0.4252426118201885,0.5747573881798115,168,0.5,0.4252426118201885,0.5747573881798115,168,0.9285714285714286,0.879310950204933,0.9586707626380373,168,0.9583333333333334,0.9165024380310177,0.9796724493149368,168,0.9702380952380952,0.9322302809239952,0.9872218762231527,168,0.9464285714285714,0.9013345443725481,0.9715630731722126
det-counterfactual,1476,0.7621951219512195,0.7398126060611729,0.7832163950433177,1476,0.7039295392953929,0.6801345229842014,0.7266658112081802,,,,,,,,,1476,0.6355013550135501,0.6106256091262192,0.6596736162507786,1476,0.5684281842818428,0.543014840581264,0.59348626823412,1476,0.5474254742547425,0.5219421356477948,0.5726625932341544,1476,0.521680216802168,0.4961730515811338,0.5470748244791859,1476,0.5088075880758808,0.4833138838031102,0.5342555658463948,1476,0.8990514905149052,0.8826316006685262,0.9133996180667323,1476,0.9112466124661247,0.8956503836289268,0.9247077653902617,1476,0.8272357723577236,0.8071064490654895,0.8456661802199602,1476,0.8285907859078591,0.8085177070948422,0.8469579144443775
