query_type,n,correct,acc,ci_lo,ci_hi
marginal,1644,1596,0.9708029197080292,0.9615028364790605,0.9779079252260447
correlation,1476,1423,0.9640921409214093,0.9533314814774675,0.97244336543875
backadj,1644,1285,0.7816301703163017,0.7610153821564176,0.800931882274414
ate,1476,1384,0.9376693766937669,0.9241636463528233,0.9489028516148796
ett,1296,1147,0.8850308641975309,0.8665147337345537,0.9012712091030094
nie,828,660,0.7971014492753623,0.768365989348125,0.8230928695280735
nde,384,336,0.875,0.8381628713865551,0.9044085929321871
det-counterfactual,1476,1125,0.7621951219512195,0.7398126060611729,0.7832163950433177
exp_away,168,162,0.9642857142857143,0.9242826143228314,0.9835309079237199
collider_bias,168,91,0.5416666666666666,0.46623203773529126,0.6152384065688863
overall,10560,9209,0.872064393939394,0.8655581323416539,0.8783000588884553
