query_type,n,correct,acc,ci_lo,ci_hi
marginal,1644,1384,0.8418491484184915,0.8234167528013794,0.8586877020801051
correlation,1476,944,0.6395663956639567,0.6147391936234308,0.6636690085148771
backadj,1644,1027,0.6246958637469586,0.6010248794823185,0.6477854643801446
ate,1476,1297,0.8787262872628726,0.8610819009149486,0.8944044340137602
ett,1296,1068,0.8240740740740741,0.8023951076548063,0.8438375496433429
nie,828,620,0.748792270531401,0.7181479144015258,0.7771387722996811
nde,384,290,0.7552083333333334,0.7098149485117263,0.7955461869274177
det-counterfactual,1476,1223,0.8285907859078591,0.8085177070948422,0.8469579144443775
exp_away,168,121,0.7202380952380952,0.6480198920280686,0.7826095992940134
collider_bias,168,159,0.9464285714285714,0.9013345443725481,0.9715630731722126
overall,10560,8133,0.7701704545454545,0.7620486682858937,0.7780957500341626
