query_type,gpt-5-nano-baseline__n,gpt-5-nano-baseline__acc,gpt-5-nano-baseline__ci_lo,gpt-5-nano-baseline__ci_hi,gpt-oss-20b-baseline__n,gpt-oss-20b-baseline__acc,gpt-oss-20b-baseline__ci_lo,gpt-oss-20b-baseline__ci_hi,gpt54-baseline__n,gpt54-baseline__acc,gpt54-baseline__ci_lo,gpt54-baseline__ci_hi,llama31-8b-instruct-baseline__n,llama31-8b-instruct-baseline__acc,llama31-8b-instruct-baseline__ci_lo,llama31-8b-instruct-baseline__ci_hi,olmo3-32b-instruct-baseline__n,olmo3-32b-instruct-baseline__acc,olmo3-32b-instruct-baseline__ci_lo,olmo3-32b-instruct-baseline__ci_hi,olmo3-7b-instruct-baseline__n,olmo3-7b-instruct-baseline__acc,olmo3-7b-instruct-baseline__ci_lo,olmo3-7b-instruct-baseline__ci_hi,qwen25-3b-instruct-baseline__n,qwen25-3b-instruct-baseline__acc,qwen25-3b-instruct-baseline__ci_lo,qwen25-3b-instruct-baseline__ci_hi,llama31-8b-instruct-lora__n,llama31-8b-instruct-lora__acc,llama31-8b-instruct-lora__ci_lo,llama31-8b-instruct-lora__ci_hi,olmo3-32b-instruct-lora__n,olmo3-32b-instruct-lora__acc,olmo3-32b-instruct-lora__ci_lo,olmo3-32b-instruct-lora__ci_hi,olmo3-7b-instruct-lora__n,olmo3-7b-instruct-lora__acc,olmo3-7b-instruct-lora__ci_lo,olmo3-7b-instruct-lora__ci_hi,qwen25-3b-instruct-lora__n,qwen25-3b-instruct-lora__acc,qwen25-3b-instruct-lora__ci_lo,qwen25-3b-instruct-lora__ci_hi
ate,1475,0.9193220338983051,0.9043098331468463,0.9321557613371282,1475,0.7830508474576271,0.7612958624143217,0.8033353189875526,1475,0.8664406779661017,0.8481249041672899,0.8828527091206458,1475,0.7322033898305085,0.7090235007617032,0.7541769294901339,1475,0.7667796610169492,0.7445226289668118,0.7876507120670507,1475,0.6115254237288136,0.5863926475174198,0.6360788000049954,1475,0.5450847457627118,0.5195877760454493,0.5703474899742504,1475,0.8772881355932204,0.8595568741551289,0.8930592993781481,1475,0.8623728813559322,0.8438478864251348,0.8790152667707979,1475,0.8793220338983051,0.8617049212876955,0.8949684822915829,1475,0.8359322033898305,0.8161645282314344,0.8539546343664789
marginal,1644,0.9762773722627737,0.9677358401614817,0.9825983024936829,1644,0.9349148418491484,0.9219477349675131,0.9458541960649807,1644,0.8813868613138686,0.8648611369034196,0.8961344026173825,1644,0.5833333333333334,0.5593346454042321,0.6069434868355605,1644,0.5924574209245742,0.5685159469369684,0.6159678202195898,1644,0.5358880778588808,0.5117252510525343,0.5598835796200772,1644,0.5261557177615572,0.5019864350723593,0.5502030516890355,1644,0.9063260340632603,0.8912786371454109,0.9194789711478839,1644,0.8655717761557178,0.8482277630276834,0.8812113426373919,1644,0.791970802919708,0.7716805521370803,0.8108997651994191,1644,0.8108272506082725,0.79117910512164,0.8290261910428417
correlation,1475,0.9545762711864407,0.9427170717677701,0.9640738435135637,1475,0.9505084745762712,0.9382221708179961,0.9604542843713346,1475,0.6298305084745762,0.6048816380309279,0.6541048799055007,1475,0.5274576271186441,0.5019412617666329,0.5528313438543874,1475,0.5728813559322034,0.5474801058316612,0.5979039708167255,1475,0.5050847457627119,0.47958945685524934,0.5305536182597544,1475,0.5322033898305085,0.5066891157012318,0.5575503600271253,1475,0.663728813559322,0.6392213634099004,0.6873856552932196,1475,0.6183050847457627,0.5932360812499646,0.642759466425789,1475,0.6386440677966102,0.6137971657118209,0.6627706824239477,1475,0.576271186440678,0.550887122972159,0.6012590037528971
nie,827,0.7629987908101572,0.7328420374325986,0.7907235542717972,827,0.6094316807738815,0.5757476894951944,0.6421037406162898,827,0.5985489721886336,0.5647586874044588,0.6314279596020158,827,0.4873035066505441,0.4533746800988304,0.5213497396119919,827,0.4921402660217654,0.45818234548267545,0.5261708667192623,827,0.558645707376058,0.5246096965910695,0.5921394123637037,827,0.5114873035066505,0.4774446815230461,0.5454237006433528,827,0.6698911729141476,0.6371203473422344,0.7010909889081913,827,0.6783555018137848,0.6457583111047064,0.7093034120051712,827,0.6674727932285369,0.6346545070661853,0.6987424329386829,827,0.656590084643289,0.6235698549616336,0.6881623019382251
backadj,1644,0.7755474452554745,0.7547503320996531,0.7950598423866682,1644,0.458029197080292,0.43407075817209023,0.48218332121078805,1644,0.745742092457421,0.7241370942233344,0.766201339534886,1644,0.51338199513382,0.4892181416839885,0.5374834561939346,1644,0.4981751824817518,0.4740383119366356,0.5223205610800112,1644,0.5650851581508516,0.5409970678830747,0.5888697945231867,1644,0.5437956204379562,0.5196448091060769,0.5677422384943979,1644,0.6386861313868614,0.6151665302752529,0.6615591204595843,1644,0.6624087591240876,0.6391947468899579,0.6848655546284699,1644,0.652676399026764,0.6293294435614978,0.6753115140457133,1644,0.621654501216545,0.5979533710053391,0.644788427884869
ett,1295,0.9057915057915058,0.8886595307945536,0.9205231395478867,1295,0.7498069498069498,0.7255015754337405,0.772634664063461,1295,0.7953667953667953,0.7725355713750697,0.8164508632699985,1295,0.538996138996139,0.5117714567330077,0.565990150978302,1295,0.48957528957528956,0.4624200856456429,0.5167921578374721,1295,0.5003861003861004,0.47319303713913696,0.5275768797688959,1295,0.49498069498069497,0.4678049767973002,0.5221861033982736,1295,0.8694980694980695,0.8500532081209309,0.886757272866429,1295,0.8818532818532818,0.8631335004360704,0.8983143216083381,1295,0.8679536679536679,0.8484220987102201,0.8853087146450086,1295,0.8054054054054054,0.7829532646922956,0.8260510095616247
nde,384,0.8046875,0.7620996307044349,0.8412396840545432,384,0.734375,0.6880367070182009,0.7760704581810131,384,0.6744791666666666,0.6260858516547267,0.719416149104688,384,0.5208333333333334,0.4709085557512433,0.5703454144886869,384,0.5572916666666666,0.5072874820682605,0.6061609360915472,384,0.5,0.4502387845765474,0.5497612154234526,384,0.5182291666666666,0.468320151326759,0.5677770726331798,384,0.8020833333333334,0.7593259380894212,0.8388566303895656,384,0.7395833333333334,0.693469302445414,0.7809513553137825,384,0.7317708333333334,0.6853233149231771,0.7736271039960455,384,0.6328125,0.5835053831523943,0.6794886771271601
collider_bias,168,0.5654761904761905,0.4898844129443985,0.6381405709621663,168,0.5297619047619048,0.4544687866777424,0.6037243878252416,168,0.6190476190476191,0.5437300926779663,0.6890426053339699,168,0.5892857142857143,0.5137068774229824,0.6608726460859699,168,0.5,0.4252426118201885,0.5747573881798115,168,0.5,0.4252426118201885,0.5747573881798115,168,0.5,0.4252426118201885,0.5747573881798115,168,0.9285714285714286,0.879310950204933,0.9586707626380373,168,0.9642857142857143,0.9242826143228314,0.9835309079237199,168,0.9404761904761905,0.8939090877359056,0.9673498949082583,168,0.9404761904761905,0.8939090877359056,0.9673498949082583
exp_away,168,1.0,0.9776453316501321,1.0,168,0.9464285714285714,0.9013345443725481,0.9715630731722126,168,0.9285714285714286,0.879310950204933,0.9586707626380373,168,0.6785714285714286,0.6046383896622172,0.7445206573556873,168,0.7202380952380952,0.6480198920280686,0.7826095992940134,168,0.5238095238095238,0.44860279178284823,0.597951747819539,168,0.49404761904761907,0.41942847356088747,0.5689328915385158,168,0.7142857142857143,0.6417818841081123,0.7772089723133729,168,0.8571428571428571,0.796234123279966,0.9020839707558425,168,0.7321428571428571,0.6605387900410764,0.793367971082199,168,0.6726190476190477,0.5984932281060817,0.7390271840112259
det-counterfactual,1476,0.7520325203252033,0.7293668579762305,0.7733897012249855,1476,0.7161246612466124,0.6925847911258274,0.7385424733504842,1476,0.6321138211382114,0.6071990606447739,0.6563426840977988,1476,0.55420054200542,0.5287347876128775,0.5793849025379215,1476,0.5365853658536586,0.5110837214748112,0.5618970693769783,1476,0.5155826558265583,0.49007976445681467,0.5410046464615401,1476,0.5047425474254743,0.47925659603156984,0.5302038768566253,1476,0.8888888888888888,0.8718356929661719,0.9039230838658117,1476,0.9071815718157181,0.8913024164115121,0.9209467558463663,1476,0.8035230352303523,0.7824758449528062,0.8229944198916688,1476,0.8157181571815718,0.7951277499447993,0.8346694451836056
