query_type,n,correct,acc,ci_lo,ci_hi
marginal,1644,1605,0.9762773722627737,0.9677358401614817,0.9825983024936829
correlation,1475,1408,0.9545762711864407,0.9427170717677701,0.9640738435135637
backadj,1644,1275,0.7755474452554745,0.7547503320996531,0.7950598423866682
ate,1475,1356,0.9193220338983051,0.9043098331468463,0.9321557613371282
ett,1295,1173,0.9057915057915058,0.8886595307945536,0.9205231395478867
nie,827,631,0.7629987908101572,0.7328420374325986,0.7907235542717972
nde,384,309,0.8046875,0.7620996307044349,0.8412396840545432
det-counterfactual,1476,1110,0.7520325203252033,0.7293668579762305,0.7733897012249855
exp_away,168,168,1.0,0.9776453316501321,1.0
collider_bias,168,95,0.5654761904761905,0.4898844129443985,0.6381405709621663
overall,10556,9130,0.8649109511178477,0.8582573393974924,0.8712990682477006
