query_type,n,correct,acc,ci_lo,ci_hi
marginal,1644,1537,0.9349148418491484,0.9219477349675131,0.9458541960649807
correlation,1475,1402,0.9505084745762712,0.9382221708179961,0.9604542843713346
backadj,1644,753,0.458029197080292,0.43407075817209023,0.48218332121078805
ate,1475,1155,0.7830508474576271,0.7612958624143217,0.8033353189875526
ett,1295,971,0.7498069498069498,0.7255015754337405,0.772634664063461
nie,827,504,0.6094316807738815,0.5757476894951944,0.6421037406162898
nde,384,282,0.734375,0.6880367070182009,0.7760704581810131
det-counterfactual,1476,1057,0.7161246612466124,0.6925847911258274,0.7385424733504842
exp_away,168,159,0.9464285714285714,0.9013345443725481,0.9715630731722126
collider_bias,168,89,0.5297619047619048,0.4544687866777424,0.6037243878252416
overall,10556,7909,0.7492421371731717,0.7408837835432153,0.7574191522082133
