query_type,base_n,base_correct,base_acc,base_ci_lo,base_ci_hi,ft_n,ft_correct,ft_acc,ft_ci_lo,ft_ci_hi,delta_acc
ate,1475,1080,0.7322033898305085,0.7090235007617032,0.7541769294901339,1475,1294,0.8772881355932204,0.8595568741551289,0.8930592993781481,0.1450847457627119
backadj,1644,844,0.51338199513382,0.4892181416839885,0.5374834561939346,1644,1050,0.6386861313868614,0.6151665302752529,0.6615591204595843,0.12530413625304138
collider_bias,168,99,0.5892857142857143,0.5137068774229824,0.6608726460859699,168,156,0.9285714285714286,0.879310950204933,0.9586707626380373,0.3392857142857143
correlation,1475,778,0.5274576271186441,0.5019412617666329,0.5528313438543874,1475,979,0.663728813559322,0.6392213634099004,0.6873856552932196,0.13627118644067793
det-counterfactual,1476,818,0.55420054200542,0.5287347876128775,0.5793849025379215,1476,1312,0.8888888888888888,0.8718356929661719,0.9039230838658117,0.3346883468834688
ett,1295,698,0.538996138996139,0.5117714567330077,0.565990150978302,1295,1126,0.8694980694980695,0.8500532081209309,0.886757272866429,0.33050193050193055
exp_away,168,114,0.6785714285714286,0.6046383896622172,0.7445206573556873,168,120,0.7142857142857143,0.6417818841081123,0.7772089723133729,0.0357142857142857
marginal,1644,959,0.5833333333333334,0.5593346454042321,0.6069434868355605,1644,1490,0.9063260340632603,0.8912786371454109,0.9194789711478839,0.3229927007299269
nde,384,200,0.5208333333333334,0.4709085557512433,0.5703454144886869,384,308,0.8020833333333334,0.7593259380894212,0.8388566303895656,0.28125
nie,827,403,0.4873035066505441,0.4533746800988304,0.5213497396119919,827,554,0.6698911729141476,0.6371203473422344,0.7010909889081913,0.18258766626360345
overall,10556,5993,0.5677339901477833,0.5582607194922752,0.5771579802653347,10556,8389,0.7947139067828723,0.7869021575286784,0.8023112340040827,0.2269799166350891
