query_type,n,correct,acc,ci_lo,ci_hi
marginal,1644,1302,0.791970802919708,0.7716805521370803,0.8108997651994191
correlation,1475,942,0.6386440677966102,0.6137971657118209,0.6627706824239477
backadj,1644,1073,0.652676399026764,0.6293294435614978,0.6753115140457133
ate,1475,1297,0.8793220338983051,0.8617049212876955,0.8949684822915829
ett,1295,1124,0.8679536679536679,0.8484220987102201,0.8853087146450086
nie,827,552,0.6674727932285369,0.6346545070661853,0.6987424329386829
nde,384,281,0.7317708333333334,0.6853233149231771,0.7736271039960455
det-counterfactual,1476,1186,0.8035230352303523,0.7824758449528062,0.8229944198916688
exp_away,168,123,0.7321428571428571,0.6605387900410764,0.793367971082199
collider_bias,168,158,0.9404761904761905,0.8939090877359056,0.9673498949082583
overall,10556,8038,0.7614626752557787,0.7532382893418058,0.7694968314008558
