query_type,n,correct,acc,ci_lo,ci_hi
marginal,1600,1555,0.971875,0.9625749186644709,0.9789146479603402
correlation,1440,1366,0.9486111111111111,0.9359666558132357,0.9588684329750333
backadj,1600,1253,0.783125,0.762266319980763,0.8026274199941236
ate,1440,1321,0.9173611111111111,0.9020053029571438,0.9304960722158435
ett,1280,1161,0.90703125,0.8898822821031591,0.921744412798216
nie,800,629,0.78625,0.7565092831338857,0.8132548102383649
nde,320,263,0.821875,0.7762100459448823,0.8599036893074622
det-counterfactual,1440,1064,0.7388888888888889,0.7155880088702613,0.7609186018776717
exp_away,160,158,0.9875,0.9555746308159091,0.9965653288918735
collider_bias,160,95,0.59375,0.5163168856257644,0.6667869527795783
overall,10240,8865,0.86572265625,0.8589816002603168,0.8721894189426957
