query_type,n,correct,acc,ci_lo,ci_hi
marginal,1600,1488,0.93,0.9164406861526263,0.9414994752220361
correlation,1440,1366,0.9486111111111111,0.9359666558132357,0.9588684329750333
backadj,1600,719,0.449375,0.42515151300177045,0.4738409970689452
ate,1440,1139,0.7909722222222222,0.7692102819680212,0.8111858514720481
ett,1280,984,0.76875,0.7448683099191148,0.7910234041808336
nie,800,496,0.62,0.5858671532112921,0.6529859164993456
nde,320,249,0.778125,0.7294513453938242,0.8202003287562597
det-counterfactual,1440,993,0.6895833333333333,0.6652089974622144,0.7129488651371625
exp_away,160,158,0.9875,0.9555746308159091,0.9965653288918735
collider_bias,160,83,0.51875,0.4418022192288147,0.5948185484522539
overall,10240,7675,0.74951171875,0.7410269028093402,0.7578094000114065
