query_type,n,correct,acc,ci_lo,ci_hi
marginal,1600,1308,0.8175,0.797820725969508,0.8356583466734111
correlation,1440,882,0.6125,0.5870697844891838,0.6373315845258313
backadj,1600,851,0.531875,0.5073781176838597,0.5562191907901342
ate,1440,1201,0.8340277777777778,0.8139275606991082,0.8523505781664608
ett,1280,981,0.76640625,0.7424506455424972,0.7887675943065794
nie,800,532,0.665,0.6315735335608991,0.6968494372912278
nde,320,215,0.671875,0.6186573263916911,0.721015056510046
det-counterfactual,1440,1152,0.8,0.7785540596716903,0.819849591035016
exp_away,160,101,0.63125,0.5542327024207806,0.7021126713466993
collider_bias,160,148,0.925,0.8734917309593303,0.9565790031448905
overall,10240,7371,0.71982421875,0.7110448797962565,0.7284386887554073
