query_type,n,invalid,invalid_rate,acc_all,acc_valid_only
backadj,444,0,0.0,0.5180180180180181,0.5180180180180181
marginal,444,0,0.0,0.4954954954954955,0.4954954954954955
ate,396,0,0.0,0.6161616161616161,0.6161616161616161
correlation,396,0,0.0,0.5454545454545454,0.5454545454545454
det-counterfactual,396,0,0.0,0.5883838383838383,0.5883838383838383
ett,336,0,0.0,0.6755952380952381,0.6755952380952381
nie,228,0,0.0,0.5043859649122807,0.5043859649122807
nde,144,0,0.0,0.4652777777777778,0.4652777777777778
collider_bias,48,0,0.0,0.5,0.5
exp_away,48,0,0.0,0.5,0.5
