query_type,n,invalid,invalid_rate,acc_all,acc_valid_only
backadj,444,0,0.0,0.5247747747747747,0.5247747747747747
marginal,444,0,0.0,0.4864864864864865,0.4864864864864865
ate,396,0,0.0,0.8737373737373737,0.8737373737373737
correlation,396,0,0.0,0.5404040404040404,0.5404040404040404
det-counterfactual,396,0,0.0,0.6237373737373737,0.6237373737373737
ett,336,0,0.0,0.5446428571428571,0.5446428571428571
nie,228,0,0.0,0.5614035087719298,0.5614035087719298
nde,144,0,0.0,0.6388888888888888,0.6388888888888888
collider_bias,48,0,0.0,0.7708333333333334,0.7708333333333334
exp_away,48,0,0.0,0.3333333333333333,0.3333333333333333
