query_type,n,invalid,invalid_rate,acc_all,acc_valid_only
backadj,444,0,0.0,0.5135135135135135,0.5135135135135135
marginal,444,0,0.0,0.527027027027027,0.527027027027027
ate,396,0,0.0,0.8888888888888888,0.8888888888888888
correlation,396,0,0.0,0.6186868686868687,0.6186868686868687
det-counterfactual,396,0,0.0,0.5858585858585859,0.5858585858585859
ett,336,0,0.0,0.42857142857142855,0.42857142857142855
nie,228,0,0.0,0.6622807017543859,0.6622807017543859
nde,144,0,0.0,0.6319444444444444,0.6319444444444444
collider_bias,48,0,0.0,0.5,0.5
exp_away,48,0,0.0,0.6666666666666666,0.6666666666666666
