query_type,n,invalid,invalid_rate,acc_all,acc_valid_only
backadj,444,0,0.0,0.5,0.5
marginal,444,0,0.0,0.5675675675675675,0.5675675675675675
ate,396,0,0.0,0.8712121212121212,0.8712121212121212
correlation,396,0,0.0,0.5606060606060606,0.5606060606060606
det-counterfactual,396,0,0.0,0.5429292929292929,0.5429292929292929
ett,336,0,0.0,0.4494047619047619,0.4494047619047619
nie,228,0,0.0,0.5833333333333334,0.5833333333333334
nde,144,0,0.0,0.5,0.5
collider_bias,48,0,0.0,0.5,0.5
exp_away,48,0,0.0,0.5416666666666666,0.5416666666666666
