query_type,n,invalid,invalid_rate,acc_all,acc_valid_only
backadj,444,36,0.08108108108108109,0.36711711711711714,0.39950980392156865
marginal,444,0,0.0,0.4774774774774775,0.4774774774774775
ate,396,0,0.0,0.8914141414141414,0.8914141414141414
correlation,396,0,0.0,0.5883838383838383,0.5883838383838383
det-counterfactual,396,29,0.07323232323232323,0.5681818181818182,0.6130790190735694
ett,336,2,0.005952380952380952,0.6160714285714286,0.6197604790419161
nie,228,8,0.03508771929824561,0.6447368421052632,0.6681818181818182
nde,144,0,0.0,0.6944444444444444,0.6944444444444444
collider_bias,48,0,0.0,0.5,0.5
exp_away,48,0,0.0,0.625,0.625
