query_type,n,invalid,invalid_rate,acc_all,acc_valid_only
backadj,444,0,0.0,0.6509009009009009,0.6509009009009009
marginal,444,0,0.0,0.5135135135135135,0.5135135135135135
ate,396,0,0.0,0.7297979797979798,0.7297979797979798
correlation,396,0,0.0,0.5126262626262627,0.5126262626262627
det-counterfactual,396,0,0.0,0.5656565656565656,0.5656565656565656
ett,336,0,0.0,0.46726190476190477,0.46726190476190477
nie,228,0,0.0,0.6052631578947368,0.6052631578947368
nde,144,0,0.0,0.5972222222222222,0.5972222222222222
collider_bias,48,0,0.0,0.5,0.5
exp_away,48,0,0.0,0.3333333333333333,0.3333333333333333
