query_type,n,invalid,invalid_rate,acc_all,acc_valid_only
backadj,444,0,0.0,0.509009009009009,0.509009009009009
marginal,444,0,0.0,0.4864864864864865,0.4864864864864865
ate,396,0,0.0,0.7777777777777778,0.7777777777777778
correlation,396,0,0.0,0.5681818181818182,0.5681818181818182
det-counterfactual,396,0,0.0,0.5151515151515151,0.5151515151515151
ett,336,0,0.0,0.5267857142857143,0.5267857142857143
nie,228,0,0.0,0.5482456140350878,0.5482456140350878
nde,144,0,0.0,0.5208333333333334,0.5208333333333334
collider_bias,48,0,0.0,0.625,0.625
exp_away,48,0,0.0,0.4791666666666667,0.4791666666666667
